    UCIVIN,        K2, 1,        O3, 3.085, 0.076
    UCIVIN,        K1, 1,       O17, 2.753, 0.187
    UCIVIN,        K1, 1,       O16, 2.953, 0.109
    UCIVIN,        K1, 1,       O15, 2.818, 0.157
    UCIVIN,        K1, 1,       O14, 2.859, 0.140
    UCIVIN,        K1, 1,       O13, 2.843, 0.146
    UCIVIN,        K1, 1,       O12, 3.008, 0.094
    UCIVIN,        K1, 1,        O2, 2.730, 0.199
    UCIVIN,        K1, 1,        O1, 2.877, 0.134
    JOMFIA,        K1, 1,        F2, 2.984, 0.068
    JOMFIA,        K1, 1,        F3, 2.596, 0.195
    JOMFIA,        K1, 1,        O6, 2.830, 0.152
    JOMFIA,        K1, 1,        O5, 2.881, 0.132
    JOMFIA,        K1, 1,        O4, 2.923, 0.118
    JOMFIA,        K1, 1,        O3, 2.820, 0.156
    JOMFIA,        K1, 1,        O2, 2.865, 0.138
    JOMFIA,        K1, 1,        O1, 2.808, 0.161
    TAVDOJ,        K1, 1,       Se6, 3.326, 0.194
    TAVDOJ,        K1, 1,       Se5, 3.329, 0.193
    TAVDOJ,        K1, 1,       Se3, 3.333, 0.191
    TAVDOJ,        K1, 1,      Se4A, 3.692, 0.072
    TAVDOJ,        K1, 1,       Se2, 3.370, 0.173
    AWELAP,        K2, 1,       O7A, 2.867, 0.137
    AWELAP,        K2, 1,        O2, 2.844, 0.146
    AWELAP,        K2, 1,       O6*, 2.754, 0.186
    AWELAP,        K2, 1,       O6A, 2.941, 0.112
    AWELAP,        K2, 1,       O9*, 2.722, 0.203
    AWELAP,        K2, 1,       O3A, 2.932, 0.115
    AWELAP,        K2, 1,       O8A, 3.063, 0.081
    AWELAP,        K2, 1,        O1, 2.657, 0.242
    HIFXUQ,        K2, 1,        O7, 2.531, 0.340
    HIFXUQ,        K2, 1,        N1, 2.786, 0.241
    HIFXUQ,        K2, 1,        O2, 2.681, 0.227
    HIFXUQ,        K2, 1,        O1, 2.796, 0.166
    HIFXUQ,        K2, 1,        O8, 2.664, 0.237
    IYACIV,        K1, 1,        N2, 3.044, 0.120
    IYACIV,        K1, 1,        N1, 3.050, 0.118
    IYACIV,        K1, 1,        O6, 2.813, 0.159
    IYACIV,        K1, 1,        O5, 2.749, 0.189
    IYACIV,        K1, 1,        O4, 2.899, 0.126
    IYACIV,        K1, 1,        O3, 2.854, 0.142
    IYACIV,        K1, 1,        O2, 2.853, 0.142
    IYACIV,        K1, 1,        O1, 2.832, 0.151
    VIHNAC,        K1, 1,      O20B, 2.835, 0.150
    VIHNAC,        K1, 1,      O15C, 3.039, 0.086
    VIHNAC,        K1, 1,      O15A, 2.648, 0.248
    VIHNAC,        K1, 1,      O18*, 2.746, 0.190
    VIHNAC,        K1, 1,        O3, 2.965, 0.105
    VIHNAC,        K1, 1,       O8B, 2.794, 0.167
    VIHNAC,        K2, 1,      O16B, 2.806, 0.162
    VIHNAC,        K2, 1,      O19C, 2.886, 0.130
    VIHNAC,        K2, 1,      O19A, 2.662, 0.239
    VIHNAC,        K2, 1,      O11B, 3.155, 0.063
    VIHNAC,        K2, 1,      O21B, 2.853, 0.142
    VIHNAC,        K2, 1,      O17C, 3.066, 0.080
    VIHNAC,        K2, 1,        O4, 2.725, 0.201
    LAGPUF,        K1, 1,        O8, 2.682, 0.226
    LAGPUF,        K1, 1,        O7, 2.779, 0.174
    LAGPUF,        K1, 1,        O6, 2.744, 0.191
    LAGPUF,        K1, 1,        O5, 2.776, 0.175
    LAGPUF,        K1, 1,        O4, 2.699, 0.216
    LAGPUF,        K1, 1,        O3, 2.791, 0.168
    LAGPUF,        K1, 1,        O2, 2.806, 0.162
    LAGPUF,        K1, 1,        O1, 2.715, 0.207
    EWAVII,        K2, 1,        N3, 3.000, 0.135
    EWAVII,        K2, 1,        O9, 2.788, 0.170
    EWAVII,        K2, 1,        O8, 2.849, 0.144
    EWAVII,        K2, 1,        O7, 2.872, 0.135
    EWAVII,        K2, 1,        O6, 2.816, 0.157
    EWAVII,        K2, 1,        O5, 2.828, 0.152
    EWAVII,        K2, 1,        O4, 2.890, 0.129
    EWAVII,        K2, 1,        N2, 2.901, 0.177
    EWAVII,        K3, 1,       O12, 2.845, 0.146
    EWAVII,        K3, 1,       O11, 2.855, 0.142
    EWAVII,        K3, 1,       O10, 2.739, 0.194
    EWAVII,        K3, 1,      O11B, 2.855, 0.142
    EWAVII,        K3, 1,      O10B, 2.739, 0.194
    EWAVII,        K3, 1,      O12B, 2.845, 0.146
    EWAVII,        K3, 1,       N4B, 2.914, 0.171
    EWAVII,        K3, 1,        N4, 2.914, 0.171
    EWAVII,        K1, 1,        O3, 2.750, 0.188
    EWAVII,        K1, 1,       N1B, 2.891, 0.182
    EWAVII,        K1, 1,       O1B, 2.832, 0.151
    EWAVII,        K1, 1,        N1, 2.891, 0.182
    EWAVII,        K1, 1,       O3B, 2.750, 0.188
    EWAVII,        K1, 1,       O2B, 2.837, 0.149
    EWAVII,        K1, 1,        O2, 2.837, 0.149
    EWAVII,        K1, 1,        O1, 2.832, 0.151
    AHIPIR,        K1, 1,        F1, 2.977, 0.070
    AHIPIR,        K1, 1,        O7, 2.612, 0.273
    AHIPIR,        K1, 1,        O6, 2.826, 0.153
    AHIPIR,        K1, 1,        O5, 2.885, 0.131
    AHIPIR,        K1, 1,        O4, 2.757, 0.185
    AHIPIR,        K1, 1,        O3, 2.936, 0.114
    AHIPIR,        K1, 1,        O2, 2.850, 0.144
    AHIPIR,        K1, 1,        O1, 2.949, 0.110
    DULGIA,        K1, 1,       O14, 2.969, 0.104
    DULGIA,        K1, 1,       O13, 2.888, 0.130
    DULGIA,        K1, 1,       O12, 2.779, 0.174
    DULGIA,        K1, 1,       O11, 2.844, 0.146
    DULGIA,        K1, 1,       O10, 2.996, 0.097
    DULGIA,        K1, 1,        O9, 2.991, 0.098
    DULGIA,        K1, 1,        O8, 2.876, 0.134
    DULGIA,        K1, 1,        O7, 2.823, 0.154
    DULGIA,        K1, 1,        O6, 2.902, 0.125
    DULGIA,        K1, 1,        O5, 2.958, 0.107
