    UBOBIW,       Zn1, 2,        N1, 2.188, 0.323
    UBOBIW,       Zn1, 2,       N1A, 2.188, 0.323
    UBOBIW,       Zn1, 2,      Cl1*, 2.509, 0.260
    UBOBIW,       Zn1, 2,       Cl1, 2.509, 0.260
    UBOBIW,       Zn1, 2,      Cl1A, 2.509, 0.260
    AQERUJ,       Zn1, 2,        N1, 2.062, 0.454
    AQERUJ,       Zn1, 2,        N2, 2.037, 0.486
    AQERUJ,       Zn1, 2,       Cl1, 2.192, 0.611
    AQERUJ,       Zn1, 2,        O1, 2.186, 0.272
    AQERUJ,       Zn1, 2,        O2, 2.169, 0.285
    DUCPIB,       Zn1, 2,        N1, 1.972, 0.579
    DUCPIB,       Zn1, 2,       N1A, 1.972, 0.579
    DUCPIB,       Zn1, 2,        O1, 1.986, 0.467
    DUCPIB,       Zn1, 2,       O1A, 1.986, 0.467
    EPAWUO,       Zn1, 2,       N1C, 2.072, 0.442
    EPAWUO,       Zn1, 2,      Cl1C, 2.257, 0.513
    EPAWUO,       Zn1, 2,        N1, 2.072, 0.442
    EPAWUO,       Zn1, 2,       Cl1, 2.257, 0.513
    JUNNAH,       Zn2, 2,       N7D, 2.174, 0.336
    JUNNAH,       Zn2, 2,        N8, 2.195, 0.317
    JUNNAH,       Zn2, 2,       N8D, 2.197, 0.315
    JUNNAH,       Zn2, 2,       N8C, 2.196, 0.316
    JUNNAH,       Zn2, 2,       N7C, 2.175, 0.335
    JUNNAH,       Zn2, 2,        N7, 2.173, 0.336
    AJEDAV,       Zn1, 2,        N1, 2.208, 0.306
    AJEDAV,       Zn1, 2,        N2, 2.174, 0.336
    AJEDAV,       Zn1, 2,        N3, 2.069, 0.446
    AJEDAV,       Zn1, 2,        N4, 2.047, 0.473
    AJEDAV,       Zn1, 2,        N5, 2.335, 0.217
    AJEDAV,       Zn1, 2,        O1, 2.160, 0.292
    MIKNIE,       Zn1, 2,        N1, 2.130, 0.378
    MIKNIE,       Zn1, 2,        N2, 2.007, 0.527
    MIKNIE,       Zn1, 2,        N3, 2.138, 0.370
    MIKNIE,       Zn1, 2,        N4, 2.557, 0.119
    MIKNIE,       Zn1, 2,       Cl1, 2.209, 0.584
    TIFMOK,       Zn1, 2,        N1, 2.056, 0.462
    TIFMOK,       Zn1, 2,        O4, 2.004, 0.444
    TIFMOK,       Zn1, 2,       O3B, 1.935, 0.536
    TIFMOK,       Zn1, 2,        O1, 1.995, 0.455
  WALBOC01,       Zn1, 2,        N1, 2.061, 0.455
  WALBOC01,       Zn1, 2,       N6D, 2.006, 0.528
  WALBOC01,       Zn1, 2,        N5, 2.034, 0.490
  WALBOC01,       Zn1, 2,        O1, 2.095, 0.348
  WALBOC01,       Zn1, 2,        O2, 2.166, 0.287
  WALBOC01,       Zn2, 2,       N3A, 2.060, 0.457
  WALBOC01,       Zn2, 2,       N7F, 2.022, 0.506
  WALBOC01,       Zn2, 2,        O4, 2.006, 0.442
  WALBOC01,       Zn2, 2,        O3, 2.421, 0.144
  WALBOC01,       Zn2, 2,       N2E, 2.001, 0.536
    LATKEX,       Zn2, 2,        O7, 1.913, 0.568
    LATKEX,       Zn2, 2,        O5, 1.977, 0.478
    LATKEX,       Zn2, 2,        N3, 2.103, 0.407
    LATKEX,       Zn2, 2,        N4, 2.092, 0.419
    YUZKIO,       Zn1, 2,        N3, 2.110, 0.399
    YUZKIO,       Zn1, 2,        N2, 2.139, 0.369
    YUZKIO,       Zn1, 2,        O4, 2.165, 0.288
    YUZKIO,       Zn1, 2,        O3, 2.109, 0.335
    YUZKIO,       Zn1, 2,        O2, 2.068, 0.374
    YUZKIO,       Zn1, 2,        O1, 2.040, 0.403
    IBAWAL,       Zn2, 2,        N1, 2.142, 0.366
    IBAWAL,       Zn2, 2,        N2, 2.125, 0.383
    IBAWAL,       Zn2, 2,       Se4, 2.375, 0.658
    IBAWAL,       Zn2, 2,       Se3, 2.376, 0.656
    DAMZOG,       Zn6, 2,        S9, 2.350, 0.495
    DAMZOG,       Zn6, 2,        S8, 2.346, 0.501
    DAMZOG,       Zn6, 2,        S7, 2.340, 0.509
    DAMZOG,       Zn6, 2,        S6, 2.251, 0.647
    HUCHOD,       Zn1, 2,        N1, 1.990, 0.552
    HUCHOD,       Zn1, 2,        O5, 2.244, 0.232
    HUCHOD,       Zn1, 2,        O4, 1.957, 0.505
    HUCHOD,       Zn1, 2,        O2, 1.951, 0.513
    HUCHOD,       Zn1, 2,        N3, 1.985, 0.559
    WABKIT,       Zn1, 2,        N1, 2.098, 0.412
    WABKIT,       Zn1, 2,        N2, 2.148, 0.360
    WABKIT,       Zn1, 2,        N3, 2.129, 0.379
    WABKIT,       Zn1, 2,        S1, 2.327, 0.527
    WABKIT,       Zn1, 2,        O1, 1.950, 0.514
    WABKIT,       Zn2, 2,        S2, 2.341, 0.507
    WABKIT,       Zn2, 2,        N4, 2.100, 0.410
    WABKIT,       Zn2, 2,        O2, 1.940, 0.528
    WABKIT,       Zn2, 2,        N6, 2.134, 0.374
    WABKIT,       Zn2, 2,        N5, 2.148, 0.360
    UNADAP,       Zn2, 2,        N3, 2.075, 0.439
    UNADAP,       Zn2, 2,        N4, 2.063, 0.453
    UNADAP,       Zn2, 2,        N5, 2.088, 0.423
    UNADAP,       Zn2, 2,        O1, 1.957, 0.505
    UNADAP,       Zn2, 2,        O2, 1.950, 0.514
    UNADAP,       Zn1, 2,        N1, 2.096, 0.414
    UNADAP,       Zn1, 2,        N2, 2.055, 0.463
    UNADAP,       Zn1, 2,        O4, 1.946, 0.520
    UNADAP,       Zn1, 2,        O3, 1.946, 0.520
    UNADAP,       Zn1, 2,       N7*, 2.088, 0.423
    OVIHOR,       Zn1, 2,        O5, 1.927, 0.547
    OVIHOR,       Zn1, 2,       O4C, 1.927, 0.547
    OVIHOR,       Zn1, 2,        O1, 1.937, 0.533
    OVIHOR,       Zn1, 2,       O7*, 1.928, 0.546
    TALSAC,       Zn1, 2,        N1, 2.314, 0.230
    TALSAC,       Zn1, 2,        N2, 2.111, 0.398
    TALSAC,       Zn1, 2,        N3, 2.225, 0.292
    TALSAC,       Zn1, 2,       Cl1, 2.262, 0.506
    TALSAC,       Zn1, 2,       Cl2, 2.277, 0.486
    OVANEF,       Zn1, 2,       N1A, 2.140, 0.368
    OVANEF,       Zn1, 2,       O1A, 2.102, 0.341
    OVANEF,       Zn1, 2,        N1, 2.140, 0.368
    OVANEF,       Zn1, 2,        O2, 2.086, 0.356
    OVANEF,       Zn1, 2,        O1, 2.102, 0.341
    OVANEF,       Zn1, 2,       O2A, 2.086, 0.356
    BUYHOT,       Zn2, 2,        P1, 2.803, 0.171
    BUYHOT,       Zn2, 2,       O7E, 2.088, 0.354
    BUYHOT,       Zn2, 2,       O4E, 2.027, 0.418
    BUYHOT,       Zn2, 2,       O6E, 2.046, 0.397
    BUYHOT,       Zn2, 2,        O3, 2.072, 0.370
    BUYHOT,       Zn2, 2,        O2, 2.459, 0.130
    BUYHOT,       Zn2, 2,        O1, 2.068, 0.374
    FAGQEL,       Zn2, 2,        N1, 2.124, 0.384
    FAGQEL,       Zn2, 2,        O1, 2.002, 0.447
    FAGQEL,       Zn2, 2,       O1A, 2.004, 0.444
    BUYHOT,       Zn1, 2,        O5, 1.963, 0.497
    BUYHOT,       Zn1, 2,       O5A, 1.963, 0.497
    BUYHOT,       Zn1, 2,        O2, 1.945, 0.521
    BUYHOT,       Zn1, 2,       O2A, 1.945, 0.521
    LUPVAT,       Zn1, 2,        O7, 2.077, 0.365
    LUPVAT,       Zn1, 2,        O6, 2.127, 0.319
    LUPVAT,       Zn1, 2,        O5, 2.085, 0.357
    LUPVAT,       Zn1, 2,        O3, 2.114, 0.330
    LUPVAT,       Zn1, 2,       O2C, 2.014, 0.433
    LUPVAT,       Zn1, 2,        O1, 2.106, 0.337
    BUSFOL,       Zn1, 2,       O4E, 2.083, 0.359
    BUSFOL,       Zn1, 2,       O5E, 2.127, 0.319
    BUSFOL,       Zn1, 2,        O7, 2.155, 0.296
    BUSFOL,       Zn1, 2,       O2F, 2.119, 0.326
    BUSFOL,       Zn1, 2,        O6, 2.123, 0.322
    BUSFOL,       Zn1, 2,        O1, 1.985, 0.468
    IREFUH,       Zn1, 2,        N1, 2.022, 0.506
    IREFUH,       Zn1, 2,        N3, 2.000, 0.537
    IREFUH,       Zn1, 2,        O3, 2.212, 0.253
    IREFUH,       Zn1, 2,        N5, 2.025, 0.502
    IREFUH,       Zn1, 2,       O7B, 2.240, 0.235
    IREFUH,       Zn2, 2,        N9, 2.032, 0.493
    IREFUH,       Zn2, 2,       N11, 2.019, 0.510
    IREFUH,       Zn2, 2,       O22, 1.987, 0.465
    IREFUH,       Zn2, 2,        N7, 1.996, 0.543
    IREFUH,       Zn3, 2,       N13, 1.990, 0.552
    IREFUH,       Zn3, 2,       N15, 1.999, 0.539
    IREFUH,       Zn3, 2,       N17, 2.020, 0.509
    IREFUH,       Zn3, 2,       O23, 1.934, 0.537
    UYAJIO,       Zn1, 2,        O6, 1.950, 0.514
    UYAJIO,       Zn1, 2,        N2, 2.051, 0.468
    UYAJIO,       Zn1, 2,        O4, 2.083, 0.359
    UYAJIO,       Zn1, 2,        O3, 2.003, 0.446
    UYAJIO,       Zn1, 2,        N3, 2.161, 0.348
    HIWCEV,       Zn1, 2,        N1, 2.238, 0.282
    HIWCEV,       Zn1, 2,        N2, 2.143, 0.365
    HIWCEV,       Zn1, 2,        N3, 2.135, 0.373
    HIWCEV,       Zn1, 2,        N4, 2.163, 0.346
    HIWCEV,       Zn1, 2,        O2, 2.130, 0.316
    HIWCEV,       Zn1, 2,        O1, 2.159, 0.292
    OYEBIE,       Zn1, 2,       N2C, 1.943, 0.627
    OYEBIE,       Zn1, 2,        N1, 2.039, 0.483
    OYEBIE,       Zn1, 2,        O3, 1.906, 0.579
    OYEBIE,       Zn1, 2,        O1, 1.956, 0.506
    GARQOH,       Zn1, 2,       Cl4, 2.252, 0.520
    GARQOH,       Zn1, 2,       Cl1, 2.305, 0.451
    GARQOH,       Zn1, 2,       Cl2, 2.310, 0.444
    GARQOH,       Zn1, 2,       Cl3, 2.268, 0.498
    YABNIA,       Zn1, 2,       N1A, 2.135, 0.373
    YABNIA,       Zn1, 2,       O1A, 2.039, 0.404
    YABNIA,       Zn1, 2,       O3A, 2.198, 0.263
    YABNIA,       Zn1, 2,        N1, 2.135, 0.373
    YABNIA,       Zn1, 2,        O3, 2.198, 0.263
