    NEHHEO,       Fe1, 2,        N3, 2.307, 0.234
    NEHHEO,       Fe1, 2,        N4, 2.264, 0.262
    NEHHEO,       Fe1, 2,        O2, 2.013, 0.429
    NEHHEO,       Fe1, 2,        O1, 2.014, 0.428
    NEFTEX,       Fe1, 2,       N3A, 2.039, 0.482
    NEFTEX,       Fe1, 2,       N2A, 2.045, 0.474
    NEFTEX,       Fe1, 2,       N1A, 2.013, 0.517
    NEFTEX,       Fe1, 2,        N1, 2.013, 0.517
    NEFTEX,       Fe1, 2,        N2, 2.045, 0.474
    NEFTEX,       Fe1, 2,        N3, 2.039, 0.482
  WOQCUB01,       Fe1, 2,       N3A, 2.184, 0.326
  WOQCUB01,       Fe1, 2,       N7A, 2.144, 0.363
  WOQCUB01,       Fe1, 2,       N6A, 2.179, 0.330
  WOQCUB01,       Fe1, 2,        N3, 2.184, 0.326
  WOQCUB01,       Fe1, 2,       N6*, 2.179, 0.330
  WOQCUB01,       Fe1, 2,        N7, 2.144, 0.363
    HOBQIZ,       Fe1, 2,        N1, 2.226, 0.291
    HOBQIZ,       Fe1, 2,        N2, 2.097, 0.412
    HOBQIZ,       Fe1, 2,        N3, 2.204, 0.309
    HOBQIZ,       Fe1, 2,       Cl1, 2.265, 0.575
    HOBQIZ,       Fe1, 2,       Cl2, 2.321, 0.494
    ULOFAD,       Fe1, 2,        N8, 2.195, 0.316
    ULOFAD,       Fe1, 2,        N9, 2.229, 0.288
    ULOFAD,       Fe1, 2,        N2, 2.179, 0.330
    ULOFAD,       Fe1, 2,        N3, 2.269, 0.259
    ULOFAD,       Fe1, 2,        N5, 2.180, 0.329
    ULOFAD,       Fe1, 2,        N6, 2.192, 0.319
  CUMXIS01,       Fe2, 2,       N12, 2.158, 0.349
  CUMXIS01,       Fe2, 2,        N9, 2.166, 0.342
  CUMXIS01,       Fe2, 2,        N7, 2.155, 0.352
  CUMXIS01,       Fe2, 2,        N5, 2.209, 0.304
  CUMXIS01,       Fe2, 2,        N6, 2.203, 0.309
  CUMXIS01,       Fe2, 2,       N8*, 2.163, 0.345
    OBIGAH,       Fe1, 2,        N1, 2.079, 0.433
