    JOKJID,       Ca1, 2,        O2, 2.323, 0.382
    JOKJID,       Ca1, 2,       O2A, 2.323, 0.382
    ELOFOA,       Ca1, 2,       O4F, 2.471, 0.256
    ELOFOA,       Ca1, 2,       O1F, 2.400, 0.310
    ELOFOA,       Ca1, 2,       N1F, 2.930, 0.118
    ELOFOA,       Ca1, 2,       O2F, 2.389, 0.320
    ELOFOA,       Ca1, 2,        N1, 2.930, 0.118
    ELOFOA,       Ca1, 2,        O4, 2.471, 0.256
    ELOFOA,       Ca1, 2,        O3, 2.582, 0.190
    ELOFOA,       Ca1, 2,        O2, 2.389, 0.320
    ELOFOA,       Ca1, 2,        O1, 2.400, 0.310
    ELOFOA,       Ca1, 2,       O3F, 2.582, 0.190
    FUQFED,       Ca1, 2,        O3, 2.332, 0.373
    FUQFED,       Ca1, 2,        O2, 2.236, 0.483
    FUQFED,       Ca1, 2,        O1, 2.153, 0.605
    FUQFED,       Ca1, 2,       O2A, 2.366, 0.340
    HUJZUH,       Ca1, 2,        N1, 2.327, 0.603
    HUJZUH,       Ca1, 2,        N2, 2.325, 0.607
    HUJZUH,       Ca1, 2,        O2, 2.371, 0.336
    HUJZUH,       Ca1, 2,        O1, 2.349, 0.356
    VOBQIN,       Ca1, 2,       O17, 2.359, 0.347
    VOBQIN,       Ca1, 2,       O13, 2.578, 0.192
    VOBQIN,       Ca1, 2,       O21, 2.439, 0.279
    VOBQIN,       Ca1, 2,        O9, 2.369, 0.337
    VOBQIN,       Ca1, 2,        O6, 2.384, 0.324
    VOBQIN,       Ca1, 2,       O18, 2.345, 0.360
    VOBQIN,       Ca1, 2,        O3, 2.325, 0.380
    TEWYOK,       Ca1, 2,       O2B, 2.414, 0.299
    TEWYOK,       Ca1, 2,       N1B, 2.584, 0.301
    TEWYOK,       Ca1, 2,        N1, 2.584, 0.301
    TEWYOK,       Ca1, 2,       O3B, 2.364, 0.342
    TEWYOK,       Ca1, 2,        O3, 2.364, 0.342
    TEWYOK,       Ca1, 2,        O2, 2.414, 0.299
    TEWYOK,       Ca1, 2,        O1, 2.352, 0.353
    UFOWAO,       Ca1, 2,        N1, 2.352, 0.564
    UFOWAO,       Ca1, 2,        O4, 2.364, 0.342
    UFOWAO,       Ca1, 2,        O3, 2.378, 0.329
    UFOWAO,       Ca1, 2,        O2, 2.365, 0.341
    UFOWAO,       Ca1, 2,        O1, 2.188, 0.550
    IBELOR,       Ca1, 2,        O2, 2.520, 0.224
    IBELOR,       Ca1, 2,        N1, 2.446, 0.437
    IBELOR,       Ca1, 2,        O6, 2.500, 0.237
    IBELOR,       Ca1, 2,        O5, 2.585, 0.188
    IBELOR,       Ca1, 2,        O4, 2.470, 0.257
    IBELOR,       Ca1, 2,        O3, 2.485, 0.247
    IBELOR,       Ca1, 2,        N2, 2.426, 0.462
    IBELOR,       Ca1, 2,        O1, 2.433, 0.284
    LIYYUO,       Ca1, 2,        N1, 2.351, 0.565
    LIYYUO,       Ca1, 2,       N3B, 2.407, 0.486
