  ZZZWJO01,       Na1, 1,        O3, 2.384, 0.208
  ZZZWJO01,       Na1, 1,       O3F, 2.384, 0.208
    WEVNOB,       Na1, 1,       O2B, 2.494, 0.154
    WEVNOB,       Na1, 1,       O1B, 2.410, 0.194
    WEVNOB,       Na1, 1,       O3B, 2.312, 0.253
    WEVNOB,       Na1, 1,        O3, 2.312, 0.253
    WEVNOB,       Na1, 1,        O2, 2.494, 0.154
    WEVNOB,       Na1, 1,        O1, 2.410, 0.194
    WEVNOB,       Na2, 1,       O4B, 2.317, 0.249
    WEVNOB,       Na2, 1,       O1B, 2.542, 0.136
    WEVNOB,       Na2, 1,        O4, 2.317, 0.249
    WEVNOB,       Na2, 1,       O2B, 2.404, 0.197
    WEVNOB,       Na2, 1,        O2, 2.404, 0.197
    WEVNOB,       Na2, 1,        O1, 2.542, 0.136
    MUCCAO,       Na1, 1,       O4E, 2.387, 0.206
    MUCCAO,       Na1, 1,       O1E, 2.313, 0.252
    MUCCAO,       Na1, 1,       O2F, 2.429, 0.184
    MUCCAO,       Na1, 1,       O2G, 2.429, 0.184
    MUCCAO,       Na1, 1,        O4, 2.387, 0.206
    MUCCAO,       Na1, 1,        O1, 2.313, 0.252
  KNATAR06,       Na1, 1,       O5C, 2.512, 0.147
  KNATAR06,       Na1, 1,      O10A, 2.335, 0.237
  KNATAR06,       Na1, 1,       O7B, 2.360, 0.222
  KNATAR06,       Na1, 1,       O8*, 2.373, 0.214
  KNATAR06,       Na1, 1,       O3C, 2.470, 0.165
  KNATAR06,       Na1, 1,        O1, 2.381, 0.210
    KOBJIU,       Na2, 1,       O10, 2.508, 0.149
    KOBJIU,       Na2, 1,      O10A, 2.508, 0.149
    KOBJIU,       Na2, 1,       N2A, 2.810, 0.093
    KOBJIU,       Na2, 1,        O9, 2.572, 0.125
    KOBJIU,       Na2, 1,        O8, 2.534, 0.139
    KOBJIU,       Na2, 1,        N2, 2.810, 0.093
    KOBJIU,       Na2, 1,       O8A, 2.534, 0.139
    KOBJIU,       Na2, 1,       O9A, 2.572, 0.125
    TUJMUG,       Na1, 1,        O6, 2.342, 0.233
    TUJMUG,       Na1, 1,        O5, 2.405, 0.197
    TUJMUG,       Na1, 1,        O4, 2.359, 0.223
    TUJMUG,       Na1, 1,        O3, 2.371, 0.215
    TUJMUG,       Na1, 1,        O2, 2.385, 0.207
    TUJMUG,       Na1, 1,        O1, 2.374, 0.214
    TUJMUG,       Na2, 1,       O12, 2.345, 0.231
    TUJMUG,       Na2, 1,       O11, 2.388, 0.206
    TUJMUG,       Na2, 1,       O10, 2.361, 0.221
    TUJMUG,       Na2, 1,        O9, 2.404, 0.197
    TUJMUG,       Na2, 1,        O8, 2.336, 0.237
    TUJMUG,       Na2, 1,        O7, 2.348, 0.229
    KOBJIU,       Na1, 1,       O5A, 2.544, 0.135
    KOBJIU,       Na1, 1,       O7A, 2.527, 0.141
    KOBJIU,       Na1, 1,       N1A, 2.753, 0.108
    KOBJIU,       Na1, 1,        O6, 2.555, 0.131
    KOBJIU,       Na1, 1,        O7, 2.527, 0.141
    KOBJIU,       Na1, 1,        N1, 2.753, 0.108
    KOBJIU,       Na1, 1,       O6A, 2.555, 0.131
    KOBJIU,       Na1, 1,        O5, 2.544, 0.135
    ECAWEL,       Na1, 1,       N3B, 2.417, 0.268
    ECAWEL,       Na1, 1,        N3, 2.417, 0.268
    ECAWEL,       Na1, 1,       O1B, 2.286, 0.271
    ECAWEL,       Na1, 1,        O1, 2.286, 0.271
    DOTSUB,       Na1, 1,       O12, 2.670, 0.096
    DOTSUB,       Na1, 1,       O11, 2.428, 0.185
    DOTSUB,       Na1, 1,       O10, 2.554, 0.131
    DOTSUB,       Na1, 1,      O10D, 2.554, 0.131
    DOTSUB,       Na1, 1,      O11D, 2.428, 0.185
    DOTSUB,       Na1, 1,      O12D, 2.670, 0.096
    DOTSUB,       Na1, 1,        O9, 2.841, 0.060
    DOTSUB,       Na1, 1,       O9D, 2.841, 0.060
    CENPOA,       Na1, 1,        O6, 2.411, 0.193
