    REHHES,       Mg4, 2,       Cl7, 2.333, 0.505
    REHHES,       Mg4, 2,       Cl8, 2.346, 0.487
    ISUBUT,       Mg1, 2,        N1, 2.174, 0.417
    ISUBUT,       Mg1, 2,        O7, 2.071, 0.360
    ISUBUT,       Mg1, 2,        O6, 2.023, 0.410
    ISUBUT,       Mg1, 2,        O5, 2.124, 0.312
    ISUBUT,       Mg1, 2,        O4, 2.089, 0.343
    ISUBUT,       Mg1, 2,        O2, 2.077, 0.354
    INIPUR,       Mg1, 2,       O5A, 2.072, 0.359
    INIPUR,       Mg1, 2,       O6A, 2.064, 0.367
    INIPUR,       Mg1, 2,        O6, 2.064, 0.367
    INIPUR,       Mg1, 2,        O5, 2.072, 0.359
    INIPUR,       Mg1, 2,        O2, 2.105, 0.328
    INIPUR,       Mg1, 2,       O2A, 2.105, 0.328
    JOKHUN,       Mg1, 2,       O1A, 2.118, 0.317
    JOKHUN,       Mg1, 2,       O3A, 2.104, 0.329
    JOKHUN,       Mg1, 2,        O3, 2.104, 0.329
    JOKHUN,       Mg1, 2,        O2, 2.115, 0.320
    JOKHUN,       Mg1, 2,        O1, 2.118, 0.317
    JOKHUN,       Mg1, 2,       O2A, 2.115, 0.320
    VUKMIX,       Mg1, 2,       O12, 2.043, 0.388
    VUKMIX,       Mg1, 2,       O11, 2.005, 0.430
    VUKMIX,       Mg1, 2,       O10, 2.072, 0.359
    VUKMIX,       Mg1, 2,      O10B, 2.072, 0.359
    VUKMIX,       Mg1, 2,        O9, 2.088, 0.344
    VUKMIX,       Mg1, 2,       O9B, 2.088, 0.344
  KABRAG01,       Mg1, 2,       O5B, 2.070, 0.361
  KABRAG01,       Mg1, 2,       O6B, 2.064, 0.367
  KABRAG01,       Mg1, 2,        O6, 2.064, 0.367
  KABRAG01,       Mg1, 2,        O5, 2.070, 0.361
  KABRAG01,       Mg1, 2,       O3B, 2.057, 0.374
  KABRAG01,       Mg1, 2,        O3, 2.057, 0.374
    DIHFIJ,       Mg1, 2,        O3, 2.072, 0.359
    DIHFIJ,       Mg1, 2,        O2, 2.087, 0.345
    DIHFIJ,       Mg1, 2,        O1, 2.069, 0.362
    DIHFIJ,       Mg1, 2,      Cl1B, 2.513, 0.310
    DIHFIJ,       Mg1, 2,       Cl1, 2.499, 0.322
    DIHFIJ,       Mg1, 2,       Cl2, 2.522, 0.303
    UBOVOY,       Mg1, 2,       O4B, 2.022, 0.411
    UBOVOY,       Mg1, 2,        O6, 2.057, 0.374
    UBOVOY,       Mg1, 2,        N1, 2.209, 0.379
    UBOVOY,       Mg1, 2,        O5, 2.101, 0.332
    UBOVOY,       Mg1, 2,       O2B, 2.070, 0.361
    UBOVOY,       Mg1, 2,        O1, 2.078, 0.353
    ANOPID,       Mg1, 2,       O6C, 2.049, 0.382
    ANOPID,       Mg1, 2,        O7, 2.018, 0.415
    ANOPID,       Mg1, 2,        O4, 1.999, 0.437
    ANOPID,       Mg1, 2,        O3, 2.147, 0.293
    ANOPID,       Mg1, 2,        O2, 2.129, 0.308
    ANOPID,       Mg1, 2,        O1, 2.095, 0.337
    USISUL,       Mg2, 2,        N8, 2.031, 0.613
    USISUL,       Mg2, 2,        N9, 2.036, 0.605
    USISUL,       Mg2, 2,       N10, 2.018, 0.635
    MODHUJ,       Mg1, 2,        O3, 2.043, 0.388
    MODHUJ,       Mg1, 2,       N1B, 2.233, 0.355
    MODHUJ,       Mg1, 2,        N1, 2.233, 0.355
    MODHUJ,       Mg1, 2,       O3B, 2.043, 0.388
    MODHUJ,       Mg1, 2,       O2B, 2.033, 0.399
    MODHUJ,       Mg1, 2,        O2, 2.033, 0.399
    RIZJUF,       Mg1, 2,        S2, 2.535, 0.383
    RIZJUF,       Mg1, 2,        S1, 2.690, 0.252
    RIZJUF,       Mg1, 2,        N1, 2.138, 0.459
    RIZJUF,       Mg1, 2,       S1B, 2.657, 0.275
    RIZJUF,       Mg1, 2,        N2, 2.185, 0.404
    RIZJUF,       Mg1, 2,        O1, 2.099, 0.334
    VUWVAL,       Mg1, 2,        N1, 2.077, 0.541
    VUWVAL,       Mg1, 2,        N2, 2.045, 0.590
    VUWVAL,       Mg1, 2,        N3, 2.304, 0.293
    VUWVAL,       Mg1, 2,        N4, 2.021, 0.630
    NUSREY,       Mg2, 2,       O7A, 2.037, 0.395
    NUSREY,       Mg2, 2,       O3A, 2.132, 0.305
    NUSREY,       Mg2, 2,        O7, 2.037, 0.395
    NUSREY,       Mg2, 2,        O3, 2.132, 0.305
    NUSREY,       Mg2, 2,        O2, 2.094, 0.338
    NUSREY,       Mg2, 2,       O2A, 2.094, 0.338
    XUZCIE,       Mg1, 2,       Br3, 2.674, 0.345
    XUZCIE,       Mg1, 2,       Br2, 2.655, 0.363
    XUZCIE,       Mg1, 2,       Br1, 2.768, 0.267
    XUZCIE,       Mg1, 2,        O6, 2.100, 0.333
    XUZCIE,       Mg1, 2,        O4, 2.090, 0.342
    XUZCIE,       Mg1, 2,        O1, 2.125, 0.311
    XUZCIE,       Mg3, 2,       Br4, 2.623, 0.396
    XUZCIE,       Mg3, 2,       Br3, 2.663, 0.355
    XUZCIE,       Mg3, 2,       Br1, 2.768, 0.267
    XUZCIE,       Mg3, 2,        O3, 2.088, 0.344
    XUZCIE,       Mg3, 2,        O2, 2.112, 0.322
    XUZCIE,       Mg3, 2,        O1, 2.123, 0.313
    XUZCIE,       Mg2, 2,       Br4, 2.667, 0.351
    XUZCIE,       Mg2, 2,       Br2, 2.669, 0.349
    XUZCIE,       Mg2, 2,       Br1, 2.763, 0.271
    XUZCIE,       Mg2, 2,        O7, 2.103, 0.330
    XUZCIE,       Mg2, 2,        O5, 2.083, 0.349
    XUZCIE,       Mg2, 2,        O1, 2.107, 0.327
    UCUTOD,       Mg1, 2,        N1, 2.098, 0.512
    UCUTOD,       Mg1, 2,        N3, 2.107, 0.499
    UCUTOD,       Mg1, 2,        O1, 2.268, 0.211
    UCUTOD,       Mg1, 2,       Br1, 2.478, 0.586
    UCUTOD,       Mg1, 2,        O2, 2.050, 0.381
    UCUTOD,       Mg2, 2,        N4, 2.105, 0.502
    UCUTOD,       Mg2, 2,        N2, 2.104, 0.503
    UCUTOD,       Mg2, 2,        O3, 2.052, 0.379
    UCUTOD,       Mg2, 2,       Br2, 2.482, 0.579
    UCUTOD,       Mg2, 2,        O1, 2.285, 0.202
    RATVAL,       Mg1, 2,        O9, 2.098, 0.335
    RATVAL,       Mg1, 2,       O9A, 2.098, 0.335
    RATVAL,       Mg1, 2,       O1A, 1.997, 0.440
    RATVAL,       Mg1, 2,        O2, 2.020, 0.413
    RATVAL,       Mg1, 2,        O1, 1.997, 0.440
    RATVAL,       Mg1, 2,       O2A, 2.020, 0.413
    RATVAL,       Mg3, 2,       O4A, 2.072, 0.359
    RATVAL,       Mg3, 2,       O5A, 2.105, 0.328
    RATVAL,       Mg3, 2,       O6A, 2.058, 0.373
    RATVAL,       Mg3, 2,        O6, 2.058, 0.373
    RATVAL,       Mg3, 2,        O5, 2.105, 0.328
    RATVAL,       Mg3, 2,        O4, 2.072, 0.359
    RATVAL,       Mg2, 2,       O7A, 2.063, 0.368
    RATVAL,       Mg2, 2,        O7, 2.063, 0.368
    RATVAL,       Mg2, 2,        O8, 2.062, 0.369
    RATVAL,       Mg2, 2,       O3A, 1.998, 0.439
    RATVAL,       Mg2, 2,        O3, 1.998, 0.439
    RATVAL,       Mg2, 2,       O8A, 2.062, 0.369
    QAWGIF,       Mg1, 2,        N1, 2.023, 0.627
    QAWGIF,       Mg1, 2,        N2, 2.094, 0.517
    QAWGIF,       Mg1, 2,        N3, 2.083, 0.533
    QAWGIF,       Mg1, 2,        O2, 2.144, 0.296
    QAWGIF,       Mg1, 2,        O1, 2.129, 0.308
    POWKAO,       Mg1, 2,       O5A, 2.110, 0.324
    POWKAO,       Mg1, 2,       O1A, 2.011, 0.423
    POWKAO,       Mg1, 2,       O3A, 2.036, 0.396
    POWKAO,       Mg1, 2,        O5, 2.110, 0.324
    POWKAO,       Mg1, 2,        O3, 2.036, 0.396
    POWKAO,       Mg1, 2,        O1, 2.011, 0.423
    MAVWOV,       Mg2, 2,        P2, 2.531, 0.521
    MAVWOV,       Mg2, 2,        P1, 2.540, 0.509
    MAVWOV,       Mg2, 2,       P2F, 2.552, 0.493
    MAVWOV,       Mg2, 2,        O2, 2.030, 0.402
    MAVWOV,       Mg1, 2,        P2, 2.540, 0.509
    MAVWOV,       Mg1, 2,        P1, 2.541, 0.507
    MAVWOV,       Mg1, 2,        O1, 2.035, 0.397
    MAVWOV,       Mg1, 2,       P1F, 2.547, 0.499
