    BAESMC,       Fe4, 2,       S9B, 2.523, 0.240,0,1.9943487257008297
    BAESMC,       Fe4, 2,        S9, 2.523, 0.240,0,1.9943487257008297
    BAESMC,       Fe4, 2,        S8, 2.557, 0.219,0,1.9943487257008297
    BAESMC,       Fe4, 2,       S10, 2.486, 0.265,0,1.9943487257008297
    BAESMC,       Fe4, 2,       S8B, 2.557, 0.219,0,1.9943487257008297
    BAESMC,       Fe4, 2,      S10B, 2.486, 0.265,0,1.9943487257008297
    QANTAB,       Fe4, 2,        S3, 2.573, 0.209,0,1.9943487257008297
    QANTAB,       Fe4, 2,        S2, 2.521, 0.241,0,1.9943487257008297
    QANTAB,       Fe4, 2,       S2I, 2.521, 0.241,0,1.9943487257008297
    QANTAB,       Fe4, 2,       S4I, 2.473, 0.274,0,1.9943487257008297
    QANTAB,       Fe4, 2,        S4, 2.473, 0.274,0,1.9943487257008297
    QANTAB,       Fe4, 2,       S3I, 2.573, 0.209,0,1.9943487257008297
    QANTAB,       Fe2, 2,        S1, 2.544, 0.226,0,1.9943487257008297
    QANTAB,       Fe2, 2,       S1K, 2.544, 0.226,0,1.9943487257008297
    QANTAB,       Fe2, 2,       S1J, 2.544, 0.226,0,1.9943487257008297
    QANTAB,       Fe2, 2,       S1I, 2.544, 0.226,0,1.9943487257008297
    QANTAB,       Fe2, 2,       S1B, 2.544, 0.226,0,1.9943487257008297
    QANTAB,       Fe2, 2,       S1A, 2.544, 0.226,0,1.9943487257008297
    YEWYII,       Fe1, 2,        S3, 2.204, 0.567,0,1.9943487257008297
    YEWYII,       Fe1, 2,        S2, 2.217, 0.548,0,1.9943487257008297
    YEWYII,       Fe1, 2,        S1, 2.192, 0.586,0,1.9943487257008297
    YEWYII,       Fe1, 2,        S7, 2.255, 0.494,0,1.9943487257008297
    LEWPOT,       Fe2, 2,       S6A, 2.406, 0.329,0,1.9943487257008297
    LEWPOT,       Fe2, 2,        S6, 2.401, 0.333,0,1.9943487257008297
    LEWPOT,       Fe2, 2,        S5, 2.324, 0.410,0,1.9943487257008297
    LEWPOT,       Fe2, 2,        S4, 2.325, 0.409,0,1.9943487257008297
    LEWPOT,       Fe1, 2,        S3, 2.347, 0.386,0,1.9943487257008297
    LEWPOT,       Fe1, 2,        S2, 2.304, 0.433,0,1.9943487257008297
    LEWPOT,       Fe1, 2,        S1, 2.301, 0.437,0,1.9943487257008297
    LEWPOT,       Fe1, 2,       S3A, 2.363, 0.369,0,1.9943487257008297
    CEYGOC,       Fe1, 2,        S3, 2.392, 0.341,0,1.9943487257008297
    CEYGOC,       Fe1, 2,        S2, 2.314, 0.422,0,1.9943487257008297
    CEYGOC,       Fe1, 2,        S1, 2.299, 0.439,0,1.9943487257008297
