    NOPZEX,       Fe1, 3,       O1A, 1.965, 0.583,0,1.7655282350223604
    NOPZEX,       Fe1, 3,        O5, 2.007, 0.521,0,1.7655282350223604
    NOPZEX,       Fe1, 3,        O4, 2.013, 0.512,0,1.7655282350223604
    NOPZEX,       Fe1, 3,        O3, 2.010, 0.516,0,1.7655282350223604
    NOPZEX,       Fe1, 3,        O2, 2.003, 0.526,0,1.7655282350223604
    NOPZEX,       Fe1, 3,        O1, 1.989, 0.547,0,1.7655282350223604
    ZOVWUC,       Fe1, 3,        O3, 1.924, 0.652,0,1.7655282350223604
    ZOVWUC,       Fe1, 3,       O1A, 2.045, 0.470,0,1.7655282350223604
    ZOVWUC,       Fe1, 3,        N3, 2.184, 0.304,0,1.7436855365387394
    ZOVWUC,       Fe1, 3,        N4, 2.192, 0.298,0,1.7436855365387394
    ZOVWUC,       Fe1, 3,        O2, 1.948, 0.611,0,1.7655282350223604
    ZOVWUC,       Fe1, 3,        O1, 1.948, 0.611,0,1.7655282350223604
    YUGKOA,       Fe2, 3,        N8, 1.904, 0.648,0,1.7436855365387394
    YUGKOA,       Fe2, 3,        N9, 1.954, 0.566,0,1.7436855365387394
    YUGKOA,       Fe2, 3,        N6, 1.988, 0.517,0,1.7436855365387394
    YUGKOA,       Fe2, 3,        N1, 1.656, 1.267,0,1.7436855365387394
    YUGKOA,       Fe2, 3,        O1, 2.077, 0.431,0,1.7655282350223604
    YUGKOA,       Fe2, 3,        N7, 1.954, 0.566,0,1.7436855365387394
    YUGKOA,       Fe1, 3,        N5, 2.021, 0.473,0,1.7436855365387394
    YUGKOA,       Fe1, 3,        N1, 1.624, 1.382,0,1.7436855365387394
    YUGKOA,       Fe1, 3,        N2, 2.039, 0.450,0,1.7436855365387394
    YUGKOA,       Fe1, 3,        N3, 2.002, 0.498,0,1.7436855365387394
    YUGKOA,       Fe1, 3,        N4, 1.948, 0.576,0,1.7436855365387394
    YUGKOA,       Fe1, 3,        O2, 2.154, 0.350,0,1.7655282350223604
    WAPBAQ,       Fe1, 3,        N3, 2.210, 0.284,0,1.7436855365387394
