  ODICAG01,       Fe1, 2,        N2, 1.999, 0.302,0,1.5564335810398906
  ODICAG01,       Fe1, 2,        N3, 1.994, 0.306,0,1.5564335810398906
  ODICAG01,       Fe1, 2,        N6, 2.007, 0.296,0,1.5564335810398906
  ODICAG01,       Fe1, 2,        N7, 2.005, 0.297,0,1.5564335810398906
  XUMWAE01,       Fe2, 2,        N9, 1.940, 0.355,0,1.5564335810398906
  XUMWAE01,       Fe2, 2,       N6B, 1.986, 0.313,0,1.5564335810398906
  XUMWAE01,       Fe2, 2,       N9B, 1.940, 0.355,0,1.5564335810398906
  XUMWAE01,       Fe2, 2,       N5B, 2.012, 0.292,0,1.5564335810398906
  XUMWAE01,       Fe2, 2,        N5, 2.012, 0.292,0,1.5564335810398906
  XUMWAE01,       Fe2, 2,        N6, 1.986, 0.313,0,1.5564335810398906
  XEFDER05,       Fe2, 2,       N11, 1.988, 0.311,0,1.5564335810398906
  XEFDER05,       Fe2, 2,      N11A, 1.988, 0.311,0,1.5564335810398906
  XEFDER05,       Fe2, 2,        N9, 1.982, 0.317,0,1.5564335810398906
  XEFDER05,       Fe2, 2,       N7A, 1.982, 0.317,0,1.5564335810398906
  XEFDER05,       Fe2, 2,       N9A, 1.982, 0.317,0,1.5564335810398906
  XEFDER05,       Fe2, 2,        N7, 1.982, 0.317,0,1.5564335810398906
    JIRFEW,       Fe1, 2,        N1, 1.901, 0.394,0,1.5564335810398906
    JIRFEW,       Fe1, 2,        N2, 1.907, 0.388,0,1.5564335810398906
    JIRFEW,       Fe1, 2,        N3, 1.903, 0.392,0,1.5564335810398906
    JIRFEW,       Fe1, 2,        N4, 1.898, 0.397,0,1.5564335810398906
    JIRFEW,       Fe1, 2,        N5, 1.906, 0.389,0,1.5564335810398906
    JIRFEW,       Fe1, 2,        N6, 1.903, 0.392,0,1.5564335810398906
    VODHIG,       Fe1, 2,        N1, 1.911, 0.384,0,1.5564335810398906
    VODHIG,       Fe1, 2,        N2, 1.914, 0.380,0,1.5564335810398906
    VODHIG,       Fe1, 2,        N3, 1.929, 0.365,0,1.5564335810398906
    VODHIG,       Fe1, 2,        N4, 2.095, 0.233,0,1.5564335810398906
    VODHIG,       Fe1, 2,        N5, 2.079, 0.244,0,1.5564335810398906
    VODHIG,       Fe1, 2,        N6, 2.077, 0.245,0,1.5564335810398906
    RISSUI,       Fe1, 2,        N1, 1.974, 0.323,0,1.5564335810398906
    RISSUI,       Fe1, 2,        N2, 2.002, 0.300,0,1.5564335810398906
    RISSUI,       Fe1, 2,        N3, 1.997, 0.304,0,1.5564335810398906
    RISSUI,       Fe1, 2,        N4, 1.963, 0.333,0,1.5564335810398906
    RISSUI,       Fe1, 2,        N5, 2.015, 0.290,0,1.5564335810398906
    RISSUI,       Fe1, 2,        N6, 1.971, 0.326,0,1.5564335810398906
    HAYBEQ,       Fe1, 2,        N8, 1.952, 0.343,0,1.5564335810398906
    HAYBEQ,       Fe1, 2,        N1, 1.945, 0.350,0,1.5564335810398906
    HAYBEQ,       Fe1, 2,        N3, 1.900, 0.395,0,1.5564335810398906
    HAYBEQ,       Fe1, 2,        N4, 1.936, 0.358,0,1.5564335810398906
    HAYBEQ,       Fe1, 2,        N6, 1.918, 0.376,0,1.5564335810398906
    HAYBEQ,       Fe1, 2,        N7, 1.941, 0.354,0,1.5564335810398906
    PDOFED,       Fe2, 2,       O24, 2.176, 0.271,0,1.6926885007958257
    PDOFED,       Fe2, 2,       O32, 2.060, 0.371,0,1.6926885007958257
    PDOFED,       Fe2, 2,       O44, 1.988, 0.450,0,1.6926885007958257
    PDOFED,       Fe2, 2,       O42, 2.064, 0.367,0,1.6926885007958257
    PDOFED,       Fe2, 2,       O34, 1.991, 0.447,0,1.6926885007958257
    PDOFED,       Fe1, 2,       O14, 1.990, 0.448,0,1.6926885007958257
    PDOFED,       Fe1, 2,       O12, 2.034, 0.398,0,1.6926885007958257
    PDOFED,       Fe1, 2,       O24, 2.089, 0.343,0,1.6926885007958257
    PDOFED,       Fe1, 2,       O32, 2.260, 0.216,0,1.6926885007958257
    PDOFED,       Fe1, 2,       O22, 2.045, 0.386,0,1.6926885007958257
    PDOFED,       Fe1, 2,       O42, 2.323, 0.182,0,1.6926885007958257
    GOGBAF,       Fe1, 2,       N3A, 1.938, 0.357,0,1.5564335810398906
    GOGBAF,       Fe1, 2,       N2A, 2.003, 0.299,0,1.5564335810398906
    GOGBAF,       Fe1, 2,       N1A, 1.889, 0.407,0,1.5564335810398906
    GOGBAF,       Fe1, 2,        N1, 1.889, 0.407,0,1.5564335810398906
    GOGBAF,       Fe1, 2,        N2, 2.003, 0.299,0,1.5564335810398906
    GOGBAF,       Fe1, 2,        N3, 1.938, 0.357,0,1.5564335810398906
  QUNYEE01,       Fe1, 2,       N10, 1.948, 0.347,0,1.5564335810398906
  QUNYEE01,       Fe1, 2,        N9, 1.940, 0.355,0,1.5564335810398906
  QUNYEE01,       Fe1, 2,        N1, 1.966, 0.331,0,1.5564335810398906
  QUNYEE01,       Fe1, 2,        N2, 1.969, 0.328,0,1.5564335810398906
  QUNYEE01,       Fe1, 2,        N5, 1.978, 0.320,0,1.5564335810398906
  QUNYEE01,       Fe1, 2,        N6, 1.978, 0.320,0,1.5564335810398906
    PUTWEH,       Fe1, 2,       N2B, 1.945, 0.350,0,1.5564335810398906
    PUTWEH,       Fe1, 2,       N2A, 1.946, 0.349,0,1.5564335810398906
    PUTWEH,       Fe1, 2,       N1B, 1.979, 0.319,0,1.5564335810398906
    PUTWEH,       Fe1, 2,       N1A, 1.979, 0.319,0,1.5564335810398906
    PUTWEH,       Fe1, 2,        N1, 1.978, 0.320,0,1.5564335810398906
    PUTWEH,       Fe1, 2,        N2, 1.945, 0.350,0,1.5564335810398906
  PTCYFE01,       Fe1, 2,        N5, 2.038, 0.272,0,1.5564335810398906
  PTCYFE01,       Fe1, 2,       N1D, 1.937, 0.358,0,1.5564335810398906
  PTCYFE01,       Fe1, 2,        N1, 1.937, 0.358,0,1.5564335810398906
  PTCYFE01,       Fe1, 2,        N2, 1.931, 0.363,0,1.5564335810398906
  PTCYFE01,       Fe1, 2,       N2D, 1.931, 0.363,0,1.5564335810398906
  PTCYFE01,       Fe1, 2,       N5D, 2.038, 0.272,0,1.5564335810398906
  KEKVIF01,       Fe1, 2,       N2F, 2.005, 0.297,0,1.5564335810398906
  KEKVIF01,       Fe1, 2,       N3F, 1.957, 0.339,0,1.5564335810398906
  KEKVIF01,       Fe1, 2,       N1F, 2.014, 0.290,0,1.5564335810398906
  KEKVIF01,       Fe1, 2,        N1, 2.014, 0.290,0,1.5564335810398906
  KEKVIF01,       Fe1, 2,        N2, 2.005, 0.297,0,1.5564335810398906
  KEKVIF01,       Fe1, 2,        N3, 1.957, 0.339,0,1.5564335810398906
    POMXEU,       Fe1, 2,       O12, 2.072, 0.359,0,1.6926885007958257
    POMXEU,       Fe1, 2,        O8, 2.091, 0.341,0,1.6926885007958257
    POMXEU,       Fe1, 2,        O5, 2.198, 0.255,0,1.6926885007958257
    POMXEU,       Fe1, 2,        O3, 2.256, 0.218,0,1.6926885007958257
    POMXEU,       Fe1, 2,        O2, 2.039, 0.392,0,1.6926885007958257
    POMXEU,       Fe1, 2,        O1, 2.032, 0.400,0,1.6926885007958257
  XENBEX04,       Fe1, 2,       N10, 1.965, 0.331,0,1.5564335810398906
  XENBEX04,       Fe1, 2,        N8, 1.901, 0.394,0,1.5564335810398906
  XENBEX04,       Fe1, 2,        N1, 1.982, 0.317,0,1.5564335810398906
  XENBEX04,       Fe1, 2,        N3, 1.896, 0.399,0,1.5564335810398906
  XENBEX04,       Fe1, 2,        N5, 1.966, 0.331,0,1.5564335810398906
  XENBEX04,       Fe1, 2,        N6, 1.988, 0.311,0,1.5564335810398906
    XIQFEJ,       Fe1, 2,        N1, 1.973, 0.324,0,1.5564335810398906
    XIQFEJ,       Fe1, 2,        N2, 1.892, 0.404,0,1.5564335810398906
    XIQFEJ,       Fe1, 2,        N3, 1.964, 0.332,0,1.5564335810398906
    XIQFEJ,       Fe1, 2,        N5, 1.979, 0.319,0,1.5564335810398906
    XIQFEJ,       Fe1, 2,        N6, 1.892, 0.404,0,1.5564335810398906
    XIQFEJ,       Fe1, 2,        N7, 1.971, 0.326,0,1.5564335810398906
    UYIBOU,       Fe1, 2,       N1B, 2.007, 0.296,0,1.5564335810398906
    UYIBOU,       Fe1, 2,       N1A, 2.007, 0.296,0,1.5564335810398906
    UYIBOU,       Fe1, 2,       N1K, 2.007, 0.296,0,1.5564335810398906
    UYIBOU,       Fe1, 2,       N1J, 2.007, 0.296,0,1.5564335810398906
    UYIBOU,       Fe1, 2,        N1, 2.007, 0.296,0,1.5564335810398906
    UYIBOU,       Fe1, 2,       N1I, 2.007, 0.296,0,1.5564335810398906
  EXOMOU01,       Fe1, 2,       N3A, 1.934, 0.360,0,1.5564335810398906
  EXOMOU01,       Fe1, 2,       N2A, 1.965, 0.331,0,1.5564335810398906
  EXOMOU01,       Fe1, 2,       N4A, 2.036, 0.274,0,1.5564335810398906
  EXOMOU01,       Fe1, 2,        N2, 1.965, 0.331,0,1.5564335810398906
  EXOMOU01,       Fe1, 2,        N3, 1.934, 0.360,0,1.5564335810398906
  EXOMOU01,       Fe1, 2,        N4, 2.036, 0.274,0,1.5564335810398906
    DISWEI,       Fe1, 2,        N1, 1.970, 0.327,0,1.5564335810398906
    DISWEI,       Fe1, 2,        N2, 1.876, 0.422,0,1.5564335810398906
    DISWEI,       Fe1, 2,        N3, 1.972, 0.325,0,1.5564335810398906
    DISWEI,       Fe1, 2,        N4, 1.975, 0.323,0,1.5564335810398906
    DISWEI,       Fe1, 2,        N5, 1.877, 0.420,0,1.5564335810398906
    DISWEI,       Fe1, 2,        N6, 1.975, 0.323,0,1.5564335810398906
    MABROY,       Fe1, 2,       N2K, 1.973, 0.324,0,1.5564335810398906
    MABROY,       Fe1, 2,       N2J, 1.973, 0.324,0,1.5564335810398906
    MABROY,       Fe1, 2,       N2I, 1.973, 0.324,0,1.5564335810398906
    MABROY,       Fe1, 2,       N2B, 1.973, 0.324,0,1.5564335810398906
    MABROY,       Fe1, 2,       N2A, 1.973, 0.324,0,1.5564335810398906
    MABROY,       Fe1, 2,        N2, 1.973, 0.324,0,1.5564335810398906
    NETBUJ,       Fe1, 2,        N1, 1.988, 0.311,0,1.5564335810398906
    NETBUJ,       Fe1, 2,        N2, 1.876, 0.422,0,1.5564335810398906
    NETBUJ,       Fe1, 2,        N3, 1.989, 0.311,0,1.5564335810398906
    NETBUJ,       Fe1, 2,        N4, 1.983, 0.316,0,1.5564335810398906
    NETBUJ,       Fe1, 2,        N5, 1.873, 0.425,0,1.5564335810398906
    NETBUJ,       Fe1, 2,        N6, 1.992, 0.308,0,1.5564335810398906
    WEYLER,       Fe1, 2,        N1, 1.950, 0.345,0,1.5564335810398906
    WEYLER,       Fe1, 2,        N2, 1.935, 0.359,0,1.5564335810398906
    WEYLER,       Fe1, 2,        N3, 1.963, 0.333,0,1.5564335810398906
    WEYLER,       Fe1, 2,        N4, 1.937, 0.358,0,1.5564335810398906
    WEYLER,       Fe1, 2,        N5, 1.962, 0.334,0,1.5564335810398906
    WEYLER,       Fe1, 2,        N6, 1.932, 0.362,0,1.5564335810398906
    TENNUV,       Fe1, 2,       O5B, 2.156, 0.286,0,1.6926885007958257
    TENNUV,       Fe1, 2,       O4B, 2.099, 0.333,0,1.6926885007958257
    TENNUV,       Fe1, 2,        O5, 2.156, 0.286,0,1.6926885007958257
    TENNUV,       Fe1, 2,        O4, 2.099, 0.333,0,1.6926885007958257
    TENNUV,       Fe1, 2,       O2B, 2.115, 0.319,0,1.6926885007958257
    TENNUV,       Fe1, 2,        O2, 2.115, 0.319,0,1.6926885007958257
    ANIBUV,       Fe2, 2,       N12, 1.966, 0.331,0,1.5564335810398906
    ANIBUV,       Fe2, 2,       N10, 1.982, 0.317,0,1.5564335810398906
    ANIBUV,       Fe2, 2,       N11, 1.974, 0.323,0,1.5564335810398906
    ANIBUV,       Fe2, 2,        N8, 1.976, 0.322,0,1.5564335810398906
    ANIBUV,       Fe2, 2,        N9, 1.951, 0.344,0,1.5564335810398906
    ANIBUV,       Fe2, 2,        N7, 1.975, 0.323,0,1.5564335810398906
    ANIBUV,       Fe1, 2,        N1, 1.960, 0.336,0,1.5564335810398906
    ANIBUV,       Fe1, 2,        N2, 1.939, 0.356,0,1.5564335810398906
    ANIBUV,       Fe1, 2,        N3, 1.968, 0.329,0,1.5564335810398906
    ANIBUV,       Fe1, 2,        N4, 1.960, 0.336,0,1.5564335810398906
    ANIBUV,       Fe1, 2,        N5, 1.959, 0.337,0,1.5564335810398906
    ANIBUV,       Fe1, 2,        N6, 1.974, 0.323,0,1.5564335810398906
    KUGBUJ,       Fe1, 2,        N1, 1.963, 0.333,0,1.5564335810398906
    KUGBUJ,       Fe1, 2,        N2, 1.967, 0.330,0,1.5564335810398906
    KUGBUJ,       Fe1, 2,        N3, 1.968, 0.329,0,1.5564335810398906
    KUGBUJ,       Fe1, 2,        N4, 1.975, 0.323,0,1.5564335810398906
    KUGBUJ,       Fe1, 2,        N5, 1.964, 0.332,0,1.5564335810398906
    KUGBUJ,       Fe1, 2,        N6, 1.970, 0.327,0,1.5564335810398906
    KEBMEK,       Fe1, 2,        N1, 1.969, 0.328,0,1.5564335810398906
    KEBMEK,       Fe1, 2,        N2, 1.972, 0.325,0,1.5564335810398906
    KEBMEK,       Fe1, 2,        N3, 1.959, 0.337,0,1.5564335810398906
    KEBMEK,       Fe1, 2,        N4, 1.958, 0.338,0,1.5564335810398906
    KEBMEK,       Fe1, 2,        N5, 1.967, 0.330,0,1.5564335810398906
    KEBMEK,       Fe1, 2,        N6, 1.969, 0.328,0,1.5564335810398906
    EJOZIM,       Fe1, 2,        N1, 1.980, 0.318,0,1.5564335810398906
    EJOZIM,       Fe1, 2,        N2, 1.971, 0.326,0,1.5564335810398906
    EJOZIM,       Fe1, 2,        N3, 1.981, 0.317,0,1.5564335810398906
    EJOZIM,       Fe1, 2,        N4, 1.969, 0.328,0,1.5564335810398906
    EJOZIM,       Fe1, 2,        N5, 1.963, 0.333,0,1.5564335810398906
