  SEPLEE01,       Fe1, 3,       Cl2, 2.178, 0.765,0,2.0788006126595278
    GANQIX,       Fe1, 3,       Cl4, 2.187, 0.746,0,2.0788006126595278
    GANQIX,       Fe1, 3,       Cl1, 2.198, 0.725,0,2.0788006126595278
    GANQIX,       Fe1, 3,       Cl2, 2.194, 0.732,0,2.0788006126595278
    GANQIX,       Fe1, 3,       Cl3, 2.195, 0.730,0,2.0788006126595278
    SEBKOZ,       Fe1, 3,       Cl4, 2.188, 0.744,0,2.0788006126595278
    SEBKOZ,       Fe1, 3,       Cl1, 2.183, 0.755,0,2.0788006126595278
    SEBKOZ,       Fe1, 3,       Cl2, 2.212, 0.698,0,2.0788006126595278
    SEBKOZ,       Fe1, 3,       Cl3, 2.185, 0.750,0,2.0788006126595278
    SEBKOZ,       Fe2, 3,       Cl5, 2.210, 0.701,0,2.0788006126595278
    SEBKOZ,       Fe2, 3,       Cl6, 2.181, 0.759,0,2.0788006126595278
    SEBKOZ,       Fe2, 3,       Cl7, 2.168, 0.786,0,2.0788006126595278
    SEBKOZ,       Fe2, 3,       Cl8, 2.200, 0.721,0,2.0788006126595278
    GOPSUZ,       Fe4, 3,      Cl16, 2.199, 0.723,0,2.0788006126595278
    GOPSUZ,       Fe4, 3,      Cl14, 2.203, 0.715,0,2.0788006126595278
    GOPSUZ,       Fe4, 3,      Cl15, 2.204, 0.713,0,2.0788006126595278
    GOPSUZ,       Fe4, 3,      Cl13, 2.175, 0.771,0,2.0788006126595278
    KANHUC,       Fe1, 3,      Cl2B, 2.139, 0.850,0,2.0788006126595278
    KANHUC,       Fe1, 3,      Cl3B, 2.147, 0.832,0,2.0788006126595278
    KANHUC,       Fe1, 3,       Cl2, 2.139, 0.850,0,2.0788006126595278
    KANHUC,       Fe1, 3,       Cl3, 2.147, 0.832,0,2.0788006126595278
    FIKGEL,       Fe1, 3,      Cl2B, 2.170, 0.782,0,2.0788006126595278
    FIKGEL,       Fe1, 3,      Cl1B, 2.170, 0.782,0,2.0788006126595278
    FIKGEL,       Fe1, 3,       Cl1, 2.170, 0.782,0,2.0788006126595278
    FIKGEL,       Fe1, 3,       Cl2, 2.170, 0.782,0,2.0788006126595278
    UKATOP,       Fe3, 3,       Cl4, 2.181, 0.759,0,2.0788006126595278
    UKATOP,       Fe3, 3,       Cl1, 2.192, 0.736,0,2.0788006126595278
    UKATOP,       Fe3, 3,       Cl2, 2.178, 0.765,0,2.0788006126595278
    UKATOP,       Fe3, 3,       Cl3, 2.186, 0.748,0,2.0788006126595278
    CEHJUV,       Fe3, 3,      Cl12, 2.191, 0.738,0,2.0788006126595278
    CEHJUV,       Fe3, 3,       Cl9, 2.158, 0.807,0,2.0788006126595278
    CEHJUV,       Fe3, 3,      Cl10, 2.199, 0.723,0,2.0788006126595278
    CEHJUV,       Fe3, 3,      Cl11, 2.145, 0.836,0,2.0788006126595278
    GOPSUZ,       Fe3, 3,      Cl12, 2.168, 0.786,0,2.0788006126595278
    GOPSUZ,       Fe3, 3,       Cl9, 2.168, 0.786,0,2.0788006126595278
    GOPSUZ,       Fe3, 3,      Cl10, 2.229, 0.666,0,2.0788006126595278
    GOPSUZ,       Fe3, 3,      Cl11, 2.189, 0.742,0,2.0788006126595278
    FENVUQ,       Fe1, 3,      Cl2C, 2.181, 0.759,0,2.0788006126595278
    FENVUQ,       Fe1, 3,       Cl1, 2.183, 0.755,0,2.0788006126595278
    FENVUQ,       Fe1, 3,       Cl2, 2.181, 0.759,0,2.0788006126595278
    FENVUQ,       Fe1, 3,      Cl1C, 2.183, 0.755,0,2.0788006126595278
    CEHJUV,       Fe2, 3,       Cl5, 2.177, 0.767,0,2.0788006126595278
    CEHJUV,       Fe2, 3,       Cl6, 2.179, 0.763,0,2.0788006126595278
    CEHJUV,       Fe2, 3,       Cl7, 2.175, 0.771,0,2.0788006126595278
    CEHJUV,       Fe2, 3,       Cl8, 2.174, 0.773,0,2.0788006126595278
    WOXFAQ,       Fe1, 3,       Cl4, 2.221, 0.681,0,2.0788006126595278
    WOXFAQ,       Fe1, 3,       Cl1, 2.193, 0.734,0,2.0788006126595278
    WOXFAQ,       Fe1, 3,       Cl2, 2.179, 0.763,0,2.0788006126595278
    WOXFAQ,       Fe1, 3,       Cl3, 2.202, 0.717,0,2.0788006126595278
    GOPSUZ,       Fe1, 3,       Cl4, 2.204, 0.713,0,2.0788006126595278
    GOPSUZ,       Fe1, 3,       Cl1, 2.186, 0.748,0,2.0788006126595278
    GOPSUZ,       Fe1, 3,       Cl2, 2.200, 0.721,0,2.0788006126595278
    GOPSUZ,       Fe1, 3,       Cl3, 2.192, 0.736,0,2.0788006126595278
    GIDRUH,       Fe1, 3,       Cl4, 2.189, 0.742,0,2.0788006126595278
    GIDRUH,       Fe1, 3,       Cl1, 2.192, 0.736,0,2.0788006126595278
    GIDRUH,       Fe1, 3,       Cl2, 2.182, 0.757,0,2.0788006126595278
    GIDRUH,       Fe1, 3,       Cl3, 2.176, 0.769,0,2.0788006126595278
    FEGWET,       Fe1, 3,       Cl4, 2.170, 0.782,0,2.0788006126595278
    FEGWET,       Fe1, 3,       Cl1, 2.190, 0.740,0,2.0788006126595278
    FEGWET,       Fe1, 3,       Cl2, 2.191, 0.738,0,2.0788006126595278
    FEGWET,       Fe1, 3,       Cl3, 2.186, 0.748,0,2.0788006126595278
    QUXFAR,       Fe1, 3,       Cl2, 2.173, 0.775,0,2.0788006126595278
    QUXFAR,       Fe1, 3,       Cl1, 2.179, 0.763,0,2.0788006126595278
    QUXFAR,       Fe1, 3,      Cl3F, 2.189, 0.742,0,2.0788006126595278
    QUXFAR,       Fe1, 3,       Cl3, 2.189, 0.742,0,2.0788006126595278
    GATWII,       Fe2, 3,       Cl4, 2.199, 0.723,0,2.0788006126595278
    GATWII,       Fe2, 3,       Cl1, 2.193, 0.734,0,2.0788006126595278
    GATWII,       Fe2, 3,       Cl2, 2.174, 0.773,0,2.0788006126595278
    GATWII,       Fe2, 3,       Cl3, 2.191, 0.738,0,2.0788006126595278
    LIRFUO,       Fe2, 3,       Cl4, 2.203, 0.715,0,2.0788006126595278
    LIRFUO,       Fe2, 3,       Cl1, 2.184, 0.753,0,2.0788006126595278
    LIRFUO,       Fe2, 3,       Cl2, 2.184, 0.753,0,2.0788006126595278
    LIRFUO,       Fe2, 3,       Cl3, 2.193, 0.734,0,2.0788006126595278
  GEZMIH01,       Fe1, 3,       Cl5, 2.187, 0.746,0,2.0788006126595278
  GEZMIH01,       Fe1, 3,       Cl8, 2.171, 0.779,0,2.0788006126595278
  GEZMIH01,       Fe1, 3,       Cl2, 2.186, 0.748,0,2.0788006126595278
  GEZMIH01,       Fe1, 3,       Cl3, 2.180, 0.761,0,2.0788006126595278
  GEZMIH01,       Fe2, 3,       Cl4, 2.176, 0.769,0,2.0788006126595278
  GEZMIH01,       Fe2, 3,       Cl6, 2.196, 0.729,0,2.0788006126595278
  GEZMIH01,       Fe2, 3,       Cl7, 2.173, 0.775,0,2.0788006126595278
  GEZMIH01,       Fe2, 3,       Cl1, 2.178, 0.765,0,2.0788006126595278
    KAJTUK,       Fe2, 3,       Cl4, 2.181, 0.759,0,2.0788006126595278
    KAJTUK,       Fe2, 3,      Cl3A, 2.166, 0.790,0,2.0788006126595278
    KAJTUK,       Fe2, 3,       Cl3, 2.166, 0.790,0,2.0788006126595278
    KAJTUK,       Fe2, 3,       Cl5, 2.187, 0.746,0,2.0788006126595278
    KUNKEJ,       Fe2, 3,       Cl4, 2.180, 0.761,0,2.0788006126595278
    KUNKEJ,       Fe2, 3,       Cl5, 2.190, 0.740,0,2.0788006126595278
    KUNKEJ,       Fe2, 3,       Cl6, 2.202, 0.717,0,2.0788006126595278
    KUNKEJ,       Fe2, 3,       Cl3, 2.153, 0.818,0,2.0788006126595278
    MENXIN,       Fe1, 3,       Cl3, 2.189, 0.742,0,2.0788006126595278
    MENXIN,       Fe1, 3,       Cl1, 2.200, 0.721,0,2.0788006126595278
    MENXIN,       Fe1, 3,       Cl2, 2.197, 0.727,0,2.0788006126595278
    MENXIN,       Fe1, 3,      Cl3E, 2.189, 0.742,0,2.0788006126595278
    EMORUT,       Fe1, 3,       Cl4, 2.206, 0.709,0,2.0788006126595278
    EMORUT,       Fe1, 3,       Cl1, 2.206, 0.709,0,2.0788006126595278
    EMORUT,       Fe1, 3,       Cl2, 2.186, 0.748,0,2.0788006126595278
    EMORUT,       Fe1, 3,       Cl3, 2.190, 0.740,0,2.0788006126595278
    SEPLEE,       Fe1, 3,       Cl4, 2.186, 0.748,0,2.0788006126595278
    SEPLEE,       Fe1, 3,       Cl1, 2.173, 0.775,0,2.0788006126595278
    SEPLEE,       Fe1, 3,       Cl2, 2.177, 0.767,0,2.0788006126595278
    SEPLEE,       Fe1, 3,       Cl3, 2.173, 0.775,0,2.0788006126595278
    AZAHUE,       Fe1, 3,       Cl4, 2.344, 0.488,0,2.0788006126595278
    AZAHUE,       Fe1, 3,       Cl1, 2.183, 0.755,0,2.0788006126595278
    AZAHUE,       Fe1, 3,       Cl2, 2.289, 0.567,0,2.0788006126595278
    AZAHUE,       Fe1, 3,       Cl3, 2.027, 1.150,0,2.0788006126595278
    YILLEL,       Fe4, 3,      Cl12, 2.194, 0.732,0,2.0788006126595278
    YILLEL,       Fe4, 3,       Cl9, 2.186, 0.748,0,2.0788006126595278
    YILLEL,       Fe4, 3,      Cl10, 2.197, 0.727,0,2.0788006126595278
    YILLEL,       Fe4, 3,      Cl11, 2.192, 0.736,0,2.0788006126595278
    YILLEL,       Fe2, 3,       Cl4, 2.191, 0.738,0,2.0788006126595278
    YILLEL,       Fe2, 3,       Cl5, 2.193, 0.734,0,2.0788006126595278
    YILLEL,       Fe2, 3,       Cl6, 2.199, 0.723,0,2.0788006126595278
    YILLEL,       Fe2, 3,       Cl3, 2.183, 0.755,0,2.0788006126595278
    NIXVUM,       Fe1, 3,       Cl4, 2.179, 0.763,0,2.0788006126595278
    NIXVUM,       Fe1, 3,       Cl1, 2.211, 0.700,0,2.0788006126595278
    NIXVUM,       Fe1, 3,       Cl2, 2.174, 0.773,0,2.0788006126595278
    NIXVUM,       Fe1, 3,       Cl3, 2.184, 0.753,0,2.0788006126595278
  JIXQEM01,       Fe3, 3,       Cl4, 2.199, 0.723,0,2.0788006126595278
  JIXQEM01,       Fe3, 3,       Cl5, 2.193, 0.734,0,2.0788006126595278
  JIXQEM01,       Fe3, 3,       Cl6, 2.186, 0.748,0,2.0788006126595278
  JIXQEM01,       Fe3, 3,       Cl3, 2.209, 0.703,0,2.0788006126595278
  CAVDOS05,       Fe2, 3,       Cl4, 2.183, 0.755,0,2.0788006126595278
  CAVDOS05,       Fe2, 3,       Cl5, 2.186, 0.748,0,2.0788006126595278
  CAVDOS05,       Fe2, 3,       Cl6, 2.183, 0.755,0,2.0788006126595278
  CAVDOS05,       Fe2, 3,       Cl3, 2.184, 0.753,0,2.0788006126595278
    BENWUM,       Fe1, 3,      Cl3B, 2.157, 0.809,0,2.0788006126595278
    BENWUM,       Fe1, 3,       Cl1, 2.163, 0.796,0,2.0788006126595278
    BENWUM,       Fe1, 3,       Cl2, 2.162, 0.799,0,2.0788006126595278
    BENWUM,       Fe1, 3,       Cl3, 2.157, 0.809,0,2.0788006126595278
    YITQUO,       Fe1, 3,       Cl4, 2.192, 0.736,0,2.0788006126595278
    YITQUO,       Fe1, 3,       Cl1, 2.189, 0.742,0,2.0788006126595278
    YITQUO,       Fe1, 3,       Cl2, 2.199, 0.723,0,2.0788006126595278
    YITQUO,       Fe1, 3,       Cl3, 2.196, 0.729,0,2.0788006126595278
    JUNNIP,       Fe2, 3,       Cl5, 2.186, 0.748,0,2.0788006126595278
    JUNNIP,       Fe2, 3,       Cl6, 2.186, 0.748,0,2.0788006126595278
    JUNNIP,       Fe2, 3,       Cl7, 2.189, 0.742,0,2.0788006126595278
