    FEXXOW,       Fe4, 3,      N19B, 2.037, 0.424,0,1.7194345035746008
    GABSEJ,       Fe2, 3,        N8, 2.032, 0.430,0,1.7194345035746008
    GABSEJ,       Fe2, 3,        N9, 2.039, 0.422,0,1.7194345035746008
    GABSEJ,       Fe2, 3,       N10, 1.713, 1.018,0,1.7194345035746008
    GABSEJ,       Fe2, 3,        N6, 1.901, 0.612,0,1.7194345035746008
    GABSEJ,       Fe2, 3,        N7, 1.858, 0.688,0,1.7194345035746008
    YIWGAM,       Fe1, 3,        N1, 2.045, 0.415,0,1.7194345035746008
    YIWGAM,       Fe1, 3,        N2, 2.043, 0.417,0,1.7194345035746008
    YIWGAM,       Fe1, 3,        N3, 2.037, 0.424,0,1.7194345035746008
    YIWGAM,       Fe1, 3,        N4, 2.035, 0.426,0,1.7194345035746008
    YIWGAM,       Fe1, 3,        N5, 1.998, 0.471,0,1.7194345035746008
    GABSEJ,       Fe1, 3,        N1, 1.885, 0.639,0,1.7194345035746008
    GABSEJ,       Fe1, 3,        N2, 1.909, 0.599,0,1.7194345035746008
    GABSEJ,       Fe1, 3,        N3, 2.049, 0.410,0,1.7194345035746008
    GABSEJ,       Fe1, 3,        N4, 2.035, 0.426,0,1.7194345035746008
    GABSEJ,       Fe1, 3,        N5, 1.714, 1.015,0,1.7194345035746008
    TUFZIE,       Fe1, 3,       N2F, 1.953, 0.532,0,1.7194345035746008
    TUFZIE,       Fe1, 3,       N6F, 1.960, 0.522,0,1.7194345035746008
    TUFZIE,       Fe1, 3,        N2, 1.953, 0.532,0,1.7194345035746008
    TUFZIE,       Fe1, 3,        N4, 1.962, 0.519,0,1.7194345035746008
    TUFZIE,       Fe1, 3,        N6, 1.960, 0.522,0,1.7194345035746008
    TUFZIE,       Fe1, 3,       N4F, 1.962, 0.519,0,1.7194345035746008
    BAKSOV,       Fe1, 3,        N8, 1.978, 0.497,0,1.7194345035746008
    BAKSOV,       Fe1, 3,        N9, 1.945, 0.544,0,1.7194345035746008
    BAKSOV,       Fe1, 3,        N2, 1.987, 0.485,0,1.7194345035746008
    BAKSOV,       Fe1, 3,        N3, 1.941, 0.549,0,1.7194345035746008
    BAKSOV,       Fe1, 3,        N5, 1.979, 0.496,0,1.7194345035746008
    BAKSOV,       Fe1, 3,        N6, 1.936, 0.557,0,1.7194345035746008
    KASSOO,       Fe2, 3,        N8, 1.998, 0.471,0,1.7194345035746008
    KASSOO,       Fe2, 3,        N3, 1.688, 1.089,0,1.7194345035746008
    KASSOO,       Fe2, 3,        N4, 1.678, 1.118,0,1.7194345035746008
    KASSOO,       Fe2, 3,        N6, 2.017, 0.447,0,1.7194345035746008
    OBOTUU,       Fe1, 3,        N1, 2.161, 0.303,0,1.7194345035746008
    OBOTUU,       Fe1, 3,        N2, 1.699, 1.057,0,1.7194345035746008
    OBOTUU,       Fe1, 3,        N3, 1.690, 1.083,0,1.7194345035746008
    OBOTUU,       Fe1, 3,        N4, 2.251, 0.238,0,1.7194345035746008
    OBOTUU,       Fe1, 3,        N5, 2.206, 0.268,0,1.7194345035746008
    MODXOS,       Fe1, 3,       N2B, 2.008, 0.458,0,1.7194345035746008
    MODXOS,       Fe1, 3,       N2A, 2.008, 0.458,0,1.7194345035746008
    MODXOS,       Fe1, 3,       N1B, 2.008, 0.458,0,1.7194345035746008
    MODXOS,       Fe1, 3,       N1A, 2.009, 0.457,0,1.7194345035746008
    MODXOS,       Fe1, 3,        N1, 2.009, 0.457,0,1.7194345035746008
    MODXOS,       Fe1, 3,        N2, 2.009, 0.457,0,1.7194345035746008
    RIPDUQ,       Fe1, 3,        N1, 1.964, 0.516,0,1.7194345035746008
    RIPDUQ,       Fe1, 3,        N2, 1.989, 0.483,0,1.7194345035746008
    RIPDUQ,       Fe1, 3,        N3, 1.961, 0.521,0,1.7194345035746008
    RIPDUQ,       Fe1, 3,        N4, 1.970, 0.508,0,1.7194345035746008
    RIPDUQ,       Fe1, 3,        N5, 1.971, 0.507,0,1.7194345035746008
    RIPDUQ,       Fe1, 3,        N7, 1.987, 0.485,0,1.7194345035746008
    FUFZAI,       Fe1, 3,        N1, 1.900, 0.614,0,1.7194345035746008
    FUFZAI,       Fe1, 3,        N2, 1.977, 0.499,0,1.7194345035746008
    FUFZAI,       Fe1, 3,        N3, 1.974, 0.503,0,1.7194345035746008
    FUFZAI,       Fe1, 3,        N4, 1.977, 0.499,0,1.7194345035746008
    FUFZAI,       Fe1, 3,        N5, 1.922, 0.578,0,1.7194345035746008
    FUFZAI,       Fe1, 3,        N6, 1.976, 0.500,0,1.7194345035746008
    AQAKAE,       Fe1, 3,        N1, 1.982, 0.492,0,1.7194345035746008
    AQAKAE,       Fe1, 3,        N2, 1.965, 0.515,0,1.7194345035746008
    AQAKAE,       Fe1, 3,        N3, 1.972, 0.505,0,1.7194345035746008
    AQAKAE,       Fe1, 3,        N4, 1.961, 0.521,0,1.7194345035746008
    AQAKAE,       Fe1, 3,        N5, 1.977, 0.499,0,1.7194345035746008
    AQAKAE,       Fe1, 3,        N7, 1.978, 0.497,0,1.7194345035746008
    IQIREG,       Fe1, 3,        N1, 1.922, 0.578,0,1.7194345035746008
    IQIREG,       Fe1, 3,        N2, 1.967, 0.512,0,1.7194345035746008
    IQIREG,       Fe1, 3,        N3, 1.899, 0.616,0,1.7194345035746008
    IQIREG,       Fe1, 3,        N4, 1.945, 0.544,0,1.7194345035746008
    IQIREG,       Fe1, 3,        N5, 1.928, 0.569,0,1.7194345035746008
    IQIREG,       Fe1, 3,        N6, 1.816, 0.770,0,1.7194345035746008
    IQIREG,       Fe2, 3,       N12, 1.890, 0.631,0,1.7194345035746008
    IQIREG,       Fe2, 3,       N10, 1.980, 0.494,0,1.7194345035746008
    IQIREG,       Fe2, 3,       N11, 1.943, 0.546,0,1.7194345035746008
    IQIREG,       Fe2, 3,        N8, 1.899, 0.616,0,1.7194345035746008
    IQIREG,       Fe2, 3,        N9, 1.930, 0.566,0,1.7194345035746008
    IQIREG,       Fe2, 3,        N7, 1.936, 0.557,0,1.7194345035746008
    NUKKUA,       Fe1, 3,        N1, 1.962, 0.519,0,1.7194345035746008
    NUKKUA,       Fe1, 3,        N2, 1.959, 0.523,0,1.7194345035746008
    NUKKUA,       Fe1, 3,        N3, 1.982, 0.492,0,1.7194345035746008
    NUKKUA,       Fe1, 3,        N4, 1.975, 0.501,0,1.7194345035746008
    NUKKUA,       Fe1, 3,        N5, 2.066, 0.392,0,1.7194345035746008
    XAKREG,       Fe1, 3,       N3A, 1.975, 0.501,0,1.7194345035746008
    XAKREG,       Fe1, 3,       N2A, 2.007, 0.460,0,1.7194345035746008
    XAKREG,       Fe1, 3,       N1A, 1.993, 0.477,0,1.7194345035746008
    XAKREG,       Fe1, 3,        N1, 1.993, 0.477,0,1.7194345035746008
    XAKREG,       Fe1, 3,        N2, 2.007, 0.460,0,1.7194345035746008
    XAKREG,       Fe1, 3,        N3, 1.975, 0.501,0,1.7194345035746008
    XAKREG,       Fe2, 3,       N7A, 1.987, 0.485,0,1.7194345035746008
    XAKREG,       Fe2, 3,       N6A, 1.988, 0.484,0,1.7194345035746008
    XAKREG,       Fe2, 3,        N7, 1.987, 0.485,0,1.7194345035746008
    XAKREG,       Fe2, 3,        N5, 2.003, 0.465,0,1.7194345035746008
