  DOQRAC01,       Fe1, 2,        N5, 1.971, 0.329,0,1.5594708834007494
  DOQRAC01,       Fe1, 2,        N6, 1.996, 0.307,0,1.5594708834007494
    OJOGUP,       Fe1, 2,       N2F, 1.969, 0.331,0,1.5594708834007494
    OJOGUP,       Fe1, 2,       N3F, 1.967, 0.332,0,1.5594708834007494
    OJOGUP,       Fe1, 2,       N1F, 1.961, 0.338,0,1.5594708834007494
    OJOGUP,       Fe1, 2,        N1, 1.961, 0.338,0,1.5594708834007494
    OJOGUP,       Fe1, 2,        N2, 1.969, 0.331,0,1.5594708834007494
    OJOGUP,       Fe1, 2,        N3, 1.967, 0.332,0,1.5594708834007494
    XOYGAU,       Fe1, 2,        N1, 1.896, 0.403,0,1.5594708834007494
    XOYGAU,       Fe1, 2,        N2, 1.898, 0.401,0,1.5594708834007494
    XOYGAU,       Fe1, 2,        N3, 1.906, 0.392,0,1.5594708834007494
    XOYGAU,       Fe1, 2,        N4, 1.906, 0.392,0,1.5594708834007494
    UKEZAM,       Fe1, 2,        N1, 1.638, 0.809,0,1.5594708834007494
    UKEZAM,       Fe1, 2,        N2, 2.094, 0.236,0,1.5594708834007494
    UKEZAM,       Fe1, 2,       N1A, 1.638, 0.809,0,1.5594708834007494
    UKEZAM,       Fe1, 2,       N2A, 2.094, 0.236,0,1.5594708834007494
    NEBLIR,       Fe1, 2,        N1, 1.973, 0.327,0,1.5594708834007494
    NEBLIR,       Fe1, 2,        N2, 1.968, 0.331,0,1.5594708834007494
    NEBLIR,       Fe1, 2,        N3, 1.975, 0.325,0,1.5594708834007494
    NEBLIR,       Fe1, 2,        N4, 1.967, 0.332,0,1.5594708834007494
    NEBLIR,       Fe1, 2,        N5, 1.963, 0.336,0,1.5594708834007494
    NEBLIR,       Fe1, 2,        N6, 1.964, 0.335,0,1.5594708834007494
  XUKNUN01,       Fe1, 2,        N1, 1.937, 0.360,0,1.5594708834007494
  XUKNUN01,       Fe1, 2,        N2, 1.944, 0.354,0,1.5594708834007494
  XUKNUN01,       Fe1, 2,        N3, 1.999, 0.305,0,1.5594708834007494
  XUKNUN01,       Fe1, 2,        N4, 2.009, 0.297,0,1.5594708834007494
  XUKNUN01,       Fe1, 2,        N5, 2.006, 0.299,0,1.5594708834007494
  XUKNUN01,       Fe1, 2,        N6, 2.003, 0.302,0,1.5594708834007494
    NANMIZ,       Fe1, 2,        N8, 1.956, 0.342,0,1.5594708834007494
    NANMIZ,       Fe1, 2,        N1, 1.997, 0.307,0,1.5594708834007494
    NANMIZ,       Fe1, 2,        N2, 1.964, 0.335,0,1.5594708834007494
    NANMIZ,       Fe1, 2,        N4, 1.977, 0.324,0,1.5594708834007494
    NANMIZ,       Fe1, 2,        N5, 1.976, 0.324,0,1.5594708834007494
    NANMIZ,       Fe1, 2,        N7, 1.951, 0.347,0,1.5594708834007494
    JIVTOX,       Fe1, 2,       N4A, 1.987, 0.315,0,1.5594708834007494
    JIVTOX,       Fe1, 2,        N1, 2.011, 0.295,0,1.5594708834007494
    JIVTOX,       Fe1, 2,        N3, 2.005, 0.300,0,1.5594708834007494
    JIVTOX,       Fe1, 2,        N4, 1.987, 0.315,0,1.5594708834007494
    JIVTOX,       Fe1, 2,       N3A, 2.005, 0.300,0,1.5594708834007494
  FPICFE10,       Fe1, 2,        N1, 1.943, 0.355,0,1.5594708834007494
  FPICFE10,       Fe1, 2,        N2, 1.927, 0.370,0,1.5594708834007494
  FPICFE10,       Fe1, 2,        N3, 1.921, 0.376,0,1.5594708834007494
  FPICFE10,       Fe1, 2,        N4, 1.972, 0.328,0,1.5594708834007494
  FPICFE10,       Fe1, 2,        N5, 1.984, 0.317,0,1.5594708834007494
  FPICFE10,       Fe1, 2,        N6, 1.979, 0.322,0,1.5594708834007494
    ANIBUV,       Fe3, 2,       N13, 1.954, 0.344,0,1.5594708834007494
    ANIBUV,       Fe3, 2,       N16, 1.977, 0.324,0,1.5594708834007494
    ANIBUV,       Fe3, 2,       N17, 1.937, 0.360,0,1.5594708834007494
    ANIBUV,       Fe3, 2,       N14, 1.933, 0.364,0,1.5594708834007494
    ANIBUV,       Fe3, 2,       N15, 1.947, 0.351,0,1.5594708834007494
    ANIBUV,       Fe3, 2,       N18, 1.962, 0.337,0,1.5594708834007494
    TACFOU,       Fe1, 2,       N3B, 1.934, 0.363,0,1.5594708834007494
    TACFOU,       Fe1, 2,       N1B, 1.932, 0.365,0,1.5594708834007494
    TACFOU,       Fe1, 2,        N1, 1.932, 0.365,0,1.5594708834007494
    TACFOU,       Fe1, 2,        N3, 1.934, 0.363,0,1.5594708834007494
    TACFOU,       Fe1, 2,       N5B, 2.014, 0.293,0,1.5594708834007494
    TACFOU,       Fe1, 2,        N5, 2.014, 0.293,0,1.5594708834007494
  OSALIE01,       Fe1, 2,       N10, 1.942, 0.356,0,1.5594708834007494
  OSALIE01,       Fe1, 2,        N9, 1.950, 0.348,0,1.5594708834007494
  OSALIE01,       Fe1, 2,        N1, 1.959, 0.340,0,1.5594708834007494
  OSALIE01,       Fe1, 2,        N4, 1.985, 0.317,0,1.5594708834007494
  OSALIE01,       Fe1, 2,        N6, 1.979, 0.322,0,1.5594708834007494
  OSALIE01,       Fe1, 2,        N7, 2.000, 0.304,0,1.5594708834007494
    CIDBIA,       Fe2, 2,       N12, 1.964, 0.335,0,1.5594708834007494
    CIDBIA,       Fe2, 2,       N10, 1.947, 0.351,0,1.5594708834007494
    CIDBIA,       Fe2, 2,       N11, 1.964, 0.335,0,1.5594708834007494
    CIDBIA,       Fe2, 2,        N8, 1.953, 0.345,0,1.5594708834007494
    CIDBIA,       Fe2, 2,        N9, 1.949, 0.349,0,1.5594708834007494
    CIDBIA,       Fe2, 2,        N7, 1.961, 0.338,0,1.5594708834007494
    GEPPEX,       Fe1, 2,        N1, 1.877, 0.424,0,1.5594708834007494
    GEPPEX,       Fe1, 2,        N2, 1.876, 0.425,0,1.5594708834007494
    GEPPEX,       Fe1, 2,        N3, 1.841, 0.467,0,1.5594708834007494
    GEPPEX,       Fe1, 2,        N4, 1.833, 0.477,0,1.5594708834007494
    CAYQOI,       Fe1, 2,       N3D, 1.960, 0.339,0,1.5594708834007494
    CAYQOI,       Fe1, 2,       N1D, 1.984, 0.317,0,1.5594708834007494
    CAYQOI,       Fe1, 2,        N1, 1.984, 0.317,0,1.5594708834007494
    CAYQOI,       Fe1, 2,       N5D, 1.975, 0.325,0,1.5594708834007494
    CAYQOI,       Fe1, 2,        N3, 1.960, 0.339,0,1.5594708834007494
    CAYQOI,       Fe1, 2,        N5, 1.975, 0.325,0,1.5594708834007494
    NUKCIF,       Fe1, 2,        N1, 1.982, 0.319,0,1.5594708834007494
    NUKCIF,       Fe1, 2,        N2, 1.974, 0.326,0,1.5594708834007494
    NUKCIF,       Fe1, 2,        N3, 1.985, 0.317,0,1.5594708834007494
    NUKCIF,       Fe1, 2,        N4, 1.970, 0.330,0,1.5594708834007494
    NUKCIF,       Fe1, 2,        N5, 1.976, 0.324,0,1.5594708834007494
    NUKCIF,       Fe1, 2,        N6, 1.981, 0.320,0,1.5594708834007494
    BERTAT,       Fe1, 2,       N3A, 2.021, 0.287,0,1.5594708834007494
    BERTAT,       Fe1, 2,       N2A, 1.885, 0.415,0,1.5594708834007494
    BERTAT,       Fe1, 2,       N1A, 1.887, 0.413,0,1.5594708834007494
    BERTAT,       Fe1, 2,        N1, 1.887, 0.413,0,1.5594708834007494
    BERTAT,       Fe1, 2,        N2, 1.885, 0.415,0,1.5594708834007494
    BERTAT,       Fe1, 2,        N3, 2.021, 0.287,0,1.5594708834007494
    EKABUO,       Fe1, 2,       N2B, 1.897, 0.402,0,1.5594708834007494
    EKABUO,       Fe1, 2,       N3B, 2.006, 0.299,0,1.5594708834007494
    EKABUO,       Fe1, 2,       N1B, 1.921, 0.376,0,1.5594708834007494
    EKABUO,       Fe1, 2,        N1, 1.921, 0.376,0,1.5594708834007494
    EKABUO,       Fe1, 2,        N2, 1.897, 0.402,0,1.5594708834007494
    EKABUO,       Fe1, 2,        N3, 2.006, 0.299,0,1.5594708834007494
    HTMZFE,       Fe1, 2,        N1, 1.916, 0.382,0,1.5594708834007494
    HTMZFE,       Fe1, 2,        N2, 1.916, 0.382,0,1.5594708834007494
    HTMZFE,       Fe1, 2,        N3, 1.917, 0.380,0,1.5594708834007494
    HTMZFE,       Fe1, 2,        N4, 1.922, 0.375,0,1.5594708834007494
    FEPHCY,       Fe1, 2,       N2B, 1.927, 0.370,0,1.5594708834007494
    FEPHCY,       Fe1, 2,        N2, 1.927, 0.370,0,1.5594708834007494
    FEPHCY,       Fe1, 2,       N4B, 1.926, 0.371,0,1.5594708834007494
    FEPHCY,       Fe1, 2,        N4, 1.926, 0.371,0,1.5594708834007494
    BULLAW,       Fe1, 2,       N2B, 1.985, 0.317,0,1.5594708834007494
    BULLAW,       Fe1, 2,       N2A, 1.985, 0.317,0,1.5594708834007494
    BULLAW,       Fe1, 2,       N1B, 1.970, 0.330,0,1.5594708834007494
    BULLAW,       Fe1, 2,       N1A, 1.970, 0.330,0,1.5594708834007494
    BULLAW,       Fe1, 2,        N1, 1.970, 0.330,0,1.5594708834007494
    BULLAW,       Fe1, 2,        N2, 1.985, 0.317,0,1.5594708834007494
    UYEDUY,       Fe1, 2,       N10, 1.970, 0.330,0,1.5594708834007494
    UYEDUY,       Fe1, 2,        N8, 1.971, 0.329,0,1.5594708834007494
    UYEDUY,       Fe1, 2,        N9, 1.979, 0.322,0,1.5594708834007494
    UYEDUY,       Fe1, 2,        N5, 1.975, 0.325,0,1.5594708834007494
    UYEDUY,       Fe1, 2,        N6, 1.973, 0.327,0,1.5594708834007494
    UYEDUY,       Fe1, 2,        N7, 1.966, 0.333,0,1.5594708834007494
    MAMJUF,       Fe1, 2,        N1, 1.949, 0.349,0,1.5594708834007494
    MAMJUF,       Fe1, 2,        N2, 1.944, 0.354,0,1.5594708834007494
    MAMJUF,       Fe1, 2,        N3, 1.980, 0.321,0,1.5594708834007494
    MAMJUF,       Fe1, 2,        N4, 1.965, 0.334,0,1.5594708834007494
    MAMJUF,       Fe1, 2,        N5, 1.961, 0.338,0,1.5594708834007494
    MAMJUF,       Fe1, 2,        N6, 1.933, 0.364,0,1.5594708834007494
  QIDLUL01,       Fe2, 2,       N13, 2.008, 0.298,0,1.5594708834007494
  QIDLUL01,       Fe2, 2,       N14, 1.921, 0.376,0,1.5594708834007494
  QIDLUL01,       Fe2, 2,       N15, 1.989, 0.313,0,1.5594708834007494
  QIDLUL01,       Fe2, 2,       N19, 1.998, 0.306,0,1.5594708834007494
  QIDLUL01,       Fe2, 2,       N21, 1.978, 0.323,0,1.5594708834007494
  QIDLUL01,       Fe2, 2,       N20, 1.910, 0.388,0,1.5594708834007494
    IYUKUJ,       Fe1, 2,      N14B, 1.979, 0.322,0,1.5594708834007494
    IYUKUJ,       Fe1, 2,        N1, 1.972, 0.328,0,1.5594708834007494
    IYUKUJ,       Fe1, 2,        N2, 1.966, 0.333,0,1.5594708834007494
    IYUKUJ,       Fe1, 2,        N3, 1.983, 0.318,0,1.5594708834007494
    IYUKUJ,       Fe1, 2,        N4, 1.985, 0.317,0,1.5594708834007494
    IYUKUJ,       Fe1, 2,        N5, 1.952, 0.346,0,1.5594708834007494
  RONPIT02,       Fe1, 2,       N3A, 1.938, 0.359,0,1.5594708834007494
  RONPIT02,       Fe1, 2,       N2A, 1.964, 0.335,0,1.5594708834007494
  RONPIT02,       Fe1, 2,       N1A, 1.965, 0.334,0,1.5594708834007494
  RONPIT02,       Fe1, 2,        N1, 1.965, 0.334,0,1.5594708834007494
  RONPIT02,       Fe1, 2,        N2, 1.964, 0.335,0,1.5594708834007494
  RONPIT02,       Fe1, 2,        N3, 1.938, 0.359,0,1.5594708834007494
    QAYCUP,       Fe1, 2,       N2B, 1.986, 0.316,0,1.5594708834007494
    QAYCUP,       Fe1, 2,       N3B, 1.966, 0.333,0,1.5594708834007494
    QAYCUP,       Fe1, 2,       N1B, 1.982, 0.319,0,1.5594708834007494
    QAYCUP,       Fe1, 2,        N1, 1.982, 0.319,0,1.5594708834007494
    QAYCUP,       Fe1, 2,        N2, 1.986, 0.316,0,1.5594708834007494
    QAYCUP,       Fe1, 2,        N3, 1.966, 0.333,0,1.5594708834007494
    OSOGAF,       Fe1, 2,        N8, 1.986, 0.316,0,1.5594708834007494
    OSOGAF,       Fe1, 2,        N9, 1.871, 0.431,0,1.5594708834007494
    OSOGAF,       Fe1, 2,        N4, 1.974, 0.326,0,1.5594708834007494
    OSOGAF,       Fe1, 2,        N5, 1.884, 0.416,0,1.5594708834007494
    OSOGAF,       Fe1, 2,        N6, 1.973, 0.327,0,1.5594708834007494
    OSOGAF,       Fe1, 2,        N7, 1.968, 0.331,0,1.5594708834007494
    NUPNIV,       Fe1, 2,       N10, 1.912, 0.386,0,1.5594708834007494
    NUPNIV,       Fe1, 2,        N9, 1.957, 0.342,0,1.5594708834007494
    NUPNIV,       Fe1, 2,        N2, 1.960, 0.339,0,1.5594708834007494
    NUPNIV,       Fe1, 2,        N4, 1.969, 0.331,0,1.5594708834007494
    NUPNIV,       Fe1, 2,        N5, 1.914, 0.384,0,1.5594708834007494
    NUPNIV,       Fe1, 2,        N7, 1.961, 0.338,0,1.5594708834007494
    UFIPIJ,       Fe1, 2,        N3, 1.966, 0.333,0,1.5594708834007494
    UFIPIJ,       Fe1, 2,       N3B, 1.966, 0.333,0,1.5594708834007494
    UFIPIJ,       Fe1, 2,       N1B, 1.999, 0.305,0,1.5594708834007494
    UFIPIJ,       Fe1, 2,        N1, 1.999, 0.305,0,1.5594708834007494
    UFIPIJ,       Fe1, 2,       N4B, 1.954, 0.344,0,1.5594708834007494
    UFIPIJ,       Fe1, 2,        N4, 1.954, 0.344,0,1.5594708834007494
    CAQFEH,       Fe2, 2,       N13, 1.900, 0.398,0,1.5594708834007494
    CAQFEH,       Fe2, 2,       N11, 1.951, 0.347,0,1.5594708834007494
    CAQFEH,       Fe2, 2,       N16, 1.950, 0.348,0,1.5594708834007494
    CAQFEH,       Fe2, 2,       N15, 1.968, 0.331,0,1.5594708834007494
    CAQFEH,       Fe2, 2,       N18, 1.914, 0.384,0,1.5594708834007494
    CAQFEH,       Fe2, 2,       N20, 1.977, 0.324,0,1.5594708834007494
    NALQEW,       Fe1, 2,        N1, 1.903, 0.395,0,1.5594708834007494
    NALQEW,       Fe1, 2,        N2, 1.911, 0.387,0,1.5594708834007494
    NALQEW,       Fe1, 2,        N3, 1.898, 0.401,0,1.5594708834007494
    NALQEW,       Fe1, 2,        N4, 1.905, 0.393,0,1.5594708834007494
    NALQEW,       Fe1, 2,        N5, 2.055, 0.262,0,1.5594708834007494
    NALQEW,       Fe1, 2,        N6, 2.047, 0.268,0,1.5594708834007494
    BUKDUH,       Fe1, 2,        N8, 1.985, 0.317,0,1.5594708834007494
    BUKDUH,       Fe1, 2,        N1, 1.990, 0.312,0,1.5594708834007494
    BUKDUH,       Fe1, 2,        N2, 1.864, 0.439,0,1.5594708834007494
    BUKDUH,       Fe1, 2,        N3, 1.981, 0.320,0,1.5594708834007494
    BUKDUH,       Fe1, 2,        N6, 1.983, 0.318,0,1.5594708834007494
    BUKDUH,       Fe1, 2,        N7, 1.870, 0.432,0,1.5594708834007494
  BEGXOB03,       Fe1, 2,       N2F, 1.997, 0.307,0,1.5594708834007494
  BEGXOB03,       Fe1, 2,       N3F, 1.937, 0.360,0,1.5594708834007494
  BEGXOB03,       Fe1, 2,       N1F, 1.978, 0.323,0,1.5594708834007494
  BEGXOB03,       Fe1, 2,        N1, 1.978, 0.323,0,1.5594708834007494
  BEGXOB03,       Fe1, 2,        N2, 1.997, 0.307,0,1.5594708834007494
  BEGXOB03,       Fe1, 2,        N3, 1.937, 0.360,0,1.5594708834007494
    KEZPEK,       Fe1, 2,        N1, 2.002, 0.302,0,1.5594708834007494
    KEZPEK,       Fe1, 2,        N2, 1.996, 0.307,0,1.5594708834007494
    KEZPEK,       Fe1, 2,        N3, 1.985, 0.317,0,1.5594708834007494
    KEZPEK,       Fe1, 2,        N4, 1.988, 0.314,0,1.5594708834007494
    KEZPEK,       Fe1, 2,        N5, 1.990, 0.312,0,1.5594708834007494
    KEZPEK,       Fe1, 2,        N6, 1.990, 0.312,0,1.5594708834007494
  BOJMET01,       Fe1, 2,       N2A, 1.975, 0.325,0,1.5594708834007494
  BOJMET01,       Fe1, 2,       N1A, 2.005, 0.300,0,1.5594708834007494
  BOJMET01,       Fe1, 2,       N7A, 1.932, 0.365,0,1.5594708834007494
  BOJMET01,       Fe1, 2,        N1, 2.005, 0.300,0,1.5594708834007494
  BOJMET01,       Fe1, 2,        N2, 1.975, 0.325,0,1.5594708834007494
  BOJMET01,       Fe1, 2,        N7, 1.932, 0.365,0,1.5594708834007494
    ARANOX,       Fe2, 2,       N11, 1.953, 0.345,0,1.5594708834007494
    ARANOX,       Fe2, 2,      N11A, 1.953, 0.345,0,1.5594708834007494
    ARANOX,       Fe2, 2,        N9, 1.942, 0.356,0,1.5594708834007494
    ARANOX,       Fe2, 2,       N7A, 1.946, 0.352,0,1.5594708834007494
    ARANOX,       Fe2, 2,       N9A, 1.942, 0.356,0,1.5594708834007494
    ARANOX,       Fe2, 2,        N7, 1.946, 0.352,0,1.5594708834007494
    ARANOX,       Fe1, 2,       N3A, 1.950, 0.348,0,1.5594708834007494
    ARANOX,       Fe1, 2,       N1A, 1.948, 0.350,0,1.5594708834007494
    ARANOX,       Fe1, 2,        N1, 1.948, 0.350,0,1.5594708834007494
    ARANOX,       Fe1, 2,        N3, 1.950, 0.348,0,1.5594708834007494
    ARANOX,       Fe1, 2,        N5, 1.940, 0.358,0,1.5594708834007494
    ARANOX,       Fe1, 2,       N5A, 1.940, 0.358,0,1.5594708834007494
    KARHER,       Fe1, 2,        N1, 1.934, 0.363,0,1.5594708834007494
    KARHER,       Fe1, 2,        N2, 1.900, 0.398,0,1.5594708834007494
    KARHER,       Fe1, 2,        N3, 1.898, 0.401,0,1.5594708834007494
    KARHER,       Fe1, 2,        N4, 1.929, 0.368,0,1.5594708834007494
    KARHER,       Fe1, 2,        N5, 2.006, 0.299,0,1.5594708834007494
    KARHER,       Fe1, 2,        N6, 2.035, 0.277,0,1.5594708834007494
