    TUQKAR,       Fe1, 2,        N3, 2.240, 0.182,0,1.6102359194747378
    TUQKAR,       Fe1, 2,        N1, 2.313, 0.150,0,1.6102359194747378
    TUQKAR,       Fe1, 2,        N2, 2.262, 0.172,0,1.6102359194747378
    TUQKAR,       Fe1, 2,        O4, 2.111, 0.362,0,1.7352693218182855
    TUQKAR,       Fe1, 2,        O2, 2.088, 0.385,0,1.7352693218182855
    TUQKAR,       Fe1, 2,        O1, 1.819, 0.797,0,1.7352693218182855
    TACFOU,       Fe1, 2,       N3B, 1.934, 0.417,0,1.6102359194747378
    TACFOU,       Fe1, 2,       N1B, 1.932, 0.419,0,1.6102359194747378
    TACFOU,       Fe1, 2,        N1, 1.932, 0.419,0,1.6102359194747378
    TACFOU,       Fe1, 2,        N3, 1.934, 0.417,0,1.6102359194747378
    TACFOU,       Fe1, 2,       N5B, 2.014, 0.336,0,1.6102359194747378
    TACFOU,       Fe1, 2,        N5, 2.014, 0.336,0,1.6102359194747378
    DUKXUC,       Fe2, 2,        N8, 2.212, 0.197,0,1.6102359194747378
    DUKXUC,       Fe2, 2,        O4, 2.060, 0.416,0,1.7352693218182855
    DUKXUC,       Fe2, 2,        O3, 2.057, 0.419,0,1.7352693218182855
    DUKXUC,       Fe2, 2,        N5, 2.225, 0.190,0,1.6102359194747378
    DUKXUC,       Fe2, 2,        N6, 2.238, 0.183,0,1.6102359194747378
    DUKXUC,       Fe2, 2,        N7, 2.202, 0.202,0,1.6102359194747378
    DUKXUC,       Fe1, 2,        N1, 2.255, 0.175,0,1.6102359194747378
    DUKXUC,       Fe1, 2,        N2, 2.219, 0.193,0,1.6102359194747378
    DUKXUC,       Fe1, 2,        N3, 2.227, 0.189,0,1.6102359194747378
    DUKXUC,       Fe1, 2,        N4, 2.211, 0.197,0,1.6102359194747378
    DUKXUC,       Fe1, 2,        O2, 2.055, 0.421,0,1.7352693218182855
    DUKXUC,       Fe1, 2,        O1, 2.052, 0.425,0,1.7352693218182855
    LUGXAN,       Fe1, 2,       N10, 2.153, 0.231,0,1.6102359194747378
    LUGXAN,       Fe1, 2,        N8, 2.193, 0.207,0,1.6102359194747378
    LUGXAN,       Fe1, 2,        N2, 2.180, 0.214,0,1.6102359194747378
    LUGXAN,       Fe1, 2,        N3, 2.216, 0.195,0,1.6102359194747378
    LUGXAN,       Fe1, 2,        N5, 2.126, 0.248,0,1.6102359194747378
    LUGXAN,       Fe1, 2,        N7, 2.190, 0.209,0,1.6102359194747378
    CIDBIA,       Fe2, 2,       N12, 1.964, 0.384,0,1.6102359194747378
    CIDBIA,       Fe2, 2,       N10, 1.947, 0.402,0,1.6102359194747378
    CIDBIA,       Fe2, 2,       N11, 1.964, 0.384,0,1.6102359194747378
    CIDBIA,       Fe2, 2,        N8, 1.953, 0.396,0,1.6102359194747378
    CIDBIA,       Fe2, 2,        N9, 1.949, 0.400,0,1.6102359194747378
    CIDBIA,       Fe2, 2,        N7, 1.961, 0.388,0,1.6102359194747378
    GAYBUF,       Fe1, 2,       N3A, 2.160, 0.226,0,1.6102359194747378
    GAYBUF,       Fe1, 2,       N2A, 2.153, 0.231,0,1.6102359194747378
    GAYBUF,       Fe1, 2,       N1A, 2.196, 0.205,0,1.6102359194747378
    GAYBUF,       Fe1, 2,        N1, 2.196, 0.205,0,1.6102359194747378
    GAYBUF,       Fe1, 2,        N2, 2.153, 0.231,0,1.6102359194747378
    GAYBUF,       Fe1, 2,        N3, 2.160, 0.226,0,1.6102359194747378
    MEZBEY,       Fe1, 2,        N1, 2.129, 0.246,0,1.6102359194747378
    MEZBEY,       Fe1, 2,       N1F, 2.129, 0.246,0,1.6102359194747378
    MEZBEY,       Fe1, 2,        O1, 1.909, 0.625,0,1.7352693218182855
    MEZBEY,       Fe1, 2,       O1F, 1.909, 0.625,0,1.7352693218182855
    NUKCIF,       Fe1, 2,        N1, 1.982, 0.366,0,1.6102359194747378
    NUKCIF,       Fe1, 2,        N2, 1.974, 0.374,0,1.6102359194747378
    NUKCIF,       Fe1, 2,        N3, 1.985, 0.363,0,1.6102359194747378
    NUKCIF,       Fe1, 2,        N4, 1.970, 0.378,0,1.6102359194747378
    NUKCIF,       Fe1, 2,        N5, 1.976, 0.372,0,1.6102359194747378
    NUKCIF,       Fe1, 2,        N6, 1.981, 0.367,0,1.6102359194747378
    DECLAZ,       Fe2, 2,        O7, 2.021, 0.462,0,1.7352693218182855
    DECLAZ,       Fe2, 2,        O6, 2.137, 0.338,0,1.7352693218182855
