 refcode  , lab1  , dist1 , lab2  , ano2 
 AFANIF03 , Fe1   , 2.185 , N10   ,    7
 AFANIF03 , Fe1   , 2.186 , N6    ,    7
 AFANIF03 , Fe1   , 2.205 , N5    ,    7
 AFEMII   , Fe1   , 2.059 , N6    ,    7
 AFEMII   , Fe1   , 2.106 , N3    ,    7
 AFEMII   , Fe1   , 2.117 , N2    ,    7
 AFEMII   , Fe1   ,  2.16 , O1    ,    8
 AFEMII   , Fe1   , 2.289 , N1    ,    7
 AFEMII   , Fe1   , 2.303 , N5    ,    7
 AFIRAJ   , Fe1   , 1.958 , N4    ,    7
 AFIRAJ   , Fe1   ,  1.97 , N2    ,    7
 AFIRAJ   , Fe1   , 1.979 , N6    ,    7
 AFIRAJ   , Fe1   ,  1.98 , N1    ,    7
 AFIRAJ   , Fe1   , 1.982 , N3    ,    7
 AFIRAJ   , Fe1   , 1.984 , N5    ,    7
 AFIRAJ   , Fe2   , 1.735 , O1    ,    8
 AFIRAJ   , Fe2   , 2.203 , Cl4   ,   17
 AFIRAJ   , Fe2   , 2.223 , Cl6   ,   17
 AFIRAJ   , Fe2   , 2.232 , Cl5   ,   17
 AFIRAJ   , Fe3   , 1.756 , O1    ,    8
 AFIRAJ   , Fe3   , 2.213 , Cl2   ,   17
 AFIRAJ   , Fe3   , 2.227 , Cl1   ,   17
 AFIRAJ   , Fe3   , 2.227 , Cl3   ,   17
 AFONAK   , Fe1   , 2.111 , O8    ,    8
 AFONAK   , Fe1   , 2.112 , O6    ,    8
 AFONAK   , Fe1   , 2.119 , O4    ,    8
 AFONAK   , Fe1   , 2.127 , O1    ,    8
 AFONAK   , Fe1   , 2.127 , O5    ,    8
 AFONAK   , Fe1   , 2.175 , O7    ,    8
 AFOXUO   , Fe1   , 2.099 , O2    ,    8
 AFOXUO   , Fe1   , 2.099 , O2A   ,    8
 AFOXUO   , Fe1   , 2.099 , O2B   ,    8
 AFOXUO   , Fe1   , 2.099 , O2C   ,    8
 AFOXUO   , Fe1   , 2.099 , O2D   ,    8
 AFOXUO   , Fe1   , 2.099 , O2E   ,    8
 AFUDUB   , Fe1   , 2.041 , N3    ,    7
 AFUDUB   , Fe1   , 2.048 , N1    ,    7
 AFUDUB   , Fe1   , 2.052 , N2    ,    7
 AFUDUB   , Fe1   , 2.079 , N3B   ,    7
 AGEROU   , Fe1   , 2.101 , O1B   ,    8
 AGEROU   , Fe1   , 2.128 , O1A   ,    8
 AGEROU   , Fe1   , 2.146 , O1    ,    8
 AGEROU   , Fe1   , 2.209 , O2    ,    8
 AGEROU   , Fe1   , 2.221 , O3    ,    8
 AGEROU   , Fe1   , 2.387 , Cl1   ,   17
 AGUGEO   , Fe1   ,  2.18 , N1    ,    7
 AGUGEO   , Fe1   , 2.182 , N3    ,    7
 AGUGEO   , Fe1   , 2.275 , N2    ,    7
 AGUGEO   , Fe1   , 2.282 , N4    ,    7
 AGUGEO   , Fe1   , 2.333 , Cl1   ,   17
 AGUGEO   , Fe1   , 2.465 , Cl2   ,   17
 AGUGEO   , Fe2   , 2.195 , N8    ,    7
 AGUGEO   , Fe2   , 2.199 , N7    ,    7
 AGUGEO   , Fe2   , 2.203 , N5    ,    7
 AGUGEO   , Fe2   , 2.267 , N6    ,    7
 AGUGEO   , Fe2   ,  2.34 , Cl4   ,   17
 AGUGEO   , Fe2   ,  2.46 , Cl3   ,   17
 AGUGIS   , Fe1   , 2.168 , N3    ,    7
 AGUGIS   , Fe1   , 2.249 , N1    ,    7
 AGUGIS   , Fe1   , 2.303 , N2    ,    7
 AGUGIS   , Fe1   , 2.354 , N4    ,    7
 AGUGIS   , Fe1   , 2.361 , Cl2   ,   17
 AGUGIS   , Fe1   , 2.402 , Cl1   ,   17
 AGUGOY   , Fe1   , 2.188 , N4    ,    7
 AGUGOY   , Fe1   , 2.229 , N2    ,    7
 AGUGOY   , Fe1   , 2.246 , N1    ,    7
 AGUGOY   , Fe1   , 2.298 , Cl1   ,   17
 AGUGOY   , Fe1   , 2.304 , Cl2   ,   17
 AGUYUW   , Fe1   , 2.087 , N1    ,    7
 AGUYUW   , Fe1   , 2.087 , N1A   ,    7
 AGUYUW   , Fe1   , 2.095 , N2    ,    7
 AGUYUW   , Fe1   , 2.095 , N2A   ,    7
 AGUYUW   , Fe1   ,  2.15 , O9    ,    8
 AGUYUW   , Fe1   ,  2.15 , O9A   ,    8
 AHESAI   , Fe1   , 2.038 , O3    ,    8
 AHESAI   , Fe1   , 2.083 , O1    ,    8
 AHESAI   , Fe1   ,   2.2 , N3B   ,    7
 AHESAI   , Fe1   , 2.202 , N1    ,    7
 AHESAI   , Fe1   , 2.253 , N4B   ,    7
 AHESAI   , Fe1   , 2.277 , N2    ,    7
 AHESAI   , Fe2   , 2.043 , O5    ,    8
 AHESAI   , Fe2   , 2.079 , O7    ,    8
 AHESAI   , Fe2   , 2.208 , N5    ,    7
 AHESAI   , Fe2   , 2.213 , N7B   ,    7
 AHESAI   , Fe2   , 2.286 , N6    ,    7
 AHESAI   , Fe2   , 2.313 , N8B   ,    7
 AHOBIJ   , Fe1   , 1.983 , O4    ,    8
 AHOBIJ   , Fe1   , 2.139 , N4    ,    7
 AHOBIJ   , Fe1   , 2.188 , N2    ,    7
 AHOBIJ   , Fe1   , 2.238 , N1    ,    7
 AHOBIJ   , Fe1   , 2.264 , N3    ,    7
 AHOBIJ   , Fe1   , 2.455 , Cl3   ,   17
 AHOBIJ   , Fe2   , 2.074 , O4    ,    8
 AHOBIJ   , Fe2   , 2.229 , O3    ,    8
 AHOBIJ   , Fe2   , 2.296 , Cl1   ,   17
 AHOBIJ   , Fe2   , 2.313 , Cl2   ,   17
 AHOBIJ   , Fe2   , 2.478 , Cl3   ,   17
 AHOBOP   , Fe1   , 2.168 , N1    ,    7
 AHOBOP   , Fe1   , 2.224 , N2    ,    7
 AHOBOP   , Fe1   , 2.265 , Cl2   ,   17
 AHOBOP   , Fe1   , 2.266 , N3    ,    7
 AHOBOP   , Fe1   , 2.325 , Cl1   ,   17
 AHOBUV   , Fe1   , 2.183 , N1    ,    7
 AHOBUV   , Fe1   , 2.205 , N3    ,    7
 AHOBUV   , Fe1   , 2.236 , N2    ,    7
 AHOBUV   , Fe1   , 2.293 , Cl1   ,   17
 AHOBUV   , Fe1   , 2.358 , Cl2   ,   17
 AHUGOA   , Fe1   , 1.927 , O1    ,    8
 AHUGOA   , Fe1   , 1.927 , O1A   ,    8
 AHUGOA   , Fe1   , 2.052 , N1    ,    7
 AHUGOA   , Fe1   , 2.052 , N1A   ,    7
 AJAXEP   , Fe1   , 2.126 , N2    ,    7
 AJAXEP   , Fe1   , 2.132 , N1    ,    7
 AJAXEP   , Fe1   , 2.151 , N7    ,    7
 AJAXEP   , Fe1   , 2.153 , N3    ,    7
 AJAXEP   , Fe1   , 2.191 , N4    ,    7
 AJAXEP   , Fe1   , 2.197 , N8    ,    7
 AJEPIP   , Fe1   , 2.061 , O3    ,    8
 AJEPIP   , Fe1   , 2.072 , O1    ,    8
 AJEPIP   , Fe1   , 2.145 , N2    ,    7
 AJEPIP   , Fe1   , 2.182 , N3    ,    7
 AJEPIP   , Fe1   , 2.186 , N1    ,    7
 AJEPIP   , Fe1   , 2.558 , O2    ,    8
 AJOCEH   , Fe1   , 2.127 , O23   ,    8
 AJOCEH   , Fe1   , 2.127 , O23A  ,    8
 AJOCEH   , Fe1   , 2.188 , O17   ,    8
 AJOCEH   , Fe1   , 2.188 , O17A  ,    8
 AJOCEH   , Fe1   , 2.206 , O30   ,    8
 AJOCEH   , Fe1   , 2.206 , O30A  ,    8
 AKEMUY01 , Fe1   , 1.941 , N3    ,    7
 AKEMUY01 , Fe1   , 1.941 , N3E   ,    7
 AKEMUY01 , Fe1   , 1.958 , N2    ,    7
 AKEMUY01 , Fe1   , 1.958 , N2E   ,    7
 AKEMUY01 , Fe1   , 1.984 , N1    ,    7
 AKEMUY01 , Fe1   , 1.984 , N1E   ,    7
 AKENAF01 , Fe1   , 1.947 , N2    ,    7
 AKENAF01 , Fe1   , 1.947 , N2E   ,    7
 AKENAF01 , Fe1   , 1.951 , N3    ,    7
 AKENAF01 , Fe1   , 1.951 , N3E   ,    7
 AKENAF01 , Fe1   , 1.996 , N1    ,    7
 AKENAF01 , Fe1   , 1.996 , N1E   ,    7
 AKEQEM   , Fe1   , 2.158 , N3    ,    7
 AKEQEM   , Fe1   , 2.158 , N3B   ,    7
 AKEQEM   , Fe1   ,  2.17 , N5    ,    7
 AKEQEM   , Fe1   ,  2.17 , N5B   ,    7
 AKEQEM   , Fe1   , 2.199 , N1    ,    7
 AKEQEM   , Fe1   , 2.199 , N1B   ,    7
 ALAVEO   , Fe1   , 2.052 , N2    ,    7
 ALAVEO   , Fe1   , 2.185 , N1    ,    7
 ALAVEO   , Fe1   , 2.317 , Cl2   ,   17
 ALAVEO   , Fe1   , 2.325 , Cl1   ,   17
 ALAWAL   , Fe1   , 2.067 , N1    ,    7
 ALAWAL   , Fe1   , 2.229 , N2    ,    7
 ALAWAL   , Fe1   , 2.267 , Cl2   ,   17
 ALAWAL   , Fe1   , 2.275 , Cl1   ,   17
 ALAXEQ   , Fe1   , 2.105 , N1    ,    7
 ALAXEQ   , Fe1   , 2.114 , N2    ,    7
 ALAXEQ   , Fe1   , 2.259 , Cl2   ,   17
 ALAXEQ   , Fe1   , 2.284 , Cl1   ,   17
 AMAHOM   , Fe1   , 1.894 , O1    ,    8
 AMAHOM   , Fe1   , 2.079 , N2    ,    7
 AMAHOM   , Fe1   ,   2.1 , N3    ,    7
 AMAHOM   , Fe1   , 2.117 , N1    ,    7
 AMAHOM   , Fe1   , 2.841 , Br1   ,   35
 AMAHUS   , Fe1   , 1.858 , O1    ,    8
 AMAHUS   , Fe1   , 2.076 , N1    ,    7
 AMAHUS   , Fe1   , 2.078 , N3    ,    7
 AMAHUS   , Fe1   , 2.094 , N2    ,    7
 AMEKAF   , Fe1   , 1.915 , O2    ,    8
 AMEKAF   , Fe1   , 2.069 , O1    ,    8
 AMEKAF   , Fe1   ,  2.07 , O3    ,    8
 AMEKAF   , Fe1   , 2.217 , N2    ,    7
 AMEKAF   , Fe1   , 2.237 , N1    ,    7
 AMEKAF   , Fe2   , 1.926 , O4    ,    8
 AMEKAF   , Fe2   , 2.066 , O3    ,    8
 AMEKAF   , Fe2   , 2.073 , O1    ,    8
 AMEKAF   , Fe2   , 2.226 , N3    ,    7
 AMEKAF   , Fe2   , 2.234 , N4    ,    7
 ANIBUV   , Fe1   , 1.939 , N2    ,    7
 ANIBUV   , Fe1   , 1.959 , N5    ,    7
 ANIBUV   , Fe1   ,  1.96 , N1    ,    7
 ANIBUV   , Fe1   ,  1.96 , N4    ,    7
 ANIBUV   , Fe1   , 1.968 , N3    ,    7
 ANIBUV   , Fe1   , 1.974 , N6    ,    7
 ANIBUV   , Fe2   , 1.951 , N9    ,    7
 ANIBUV   , Fe2   , 1.966 , N12   ,    7
 ANIBUV   , Fe2   , 1.974 , N11   ,    7
 ANIBUV   , Fe2   , 1.975 , N7    ,    7
 ANIBUV   , Fe2   , 1.976 , N8    ,    7
 ANIBUV   , Fe2   , 1.982 , N10   ,    7
 ANIBUV   , Fe3   , 1.933 , N14   ,    7
 ANIBUV   , Fe3   , 1.937 , N17   ,    7
 ANIBUV   , Fe3   , 1.947 , N15   ,    7
 ANIBUV   , Fe3   , 1.954 , N13   ,    7
 ANIBUV   , Fe3   , 1.962 , N18   ,    7
 ANIBUV   , Fe3   , 1.977 , N16   ,    7
 APINUJ   , Fe1   , 1.897 , N2    ,    7
 APINUJ   , Fe1   , 1.897 , N2D   ,    7
 APINUJ   , Fe1   , 1.906 , N1    ,    7
 APINUJ   , Fe1   , 1.906 , N1D   ,    7
 APINUJ   , Fe1   , 2.027 , N3    ,    7
 APINUJ   , Fe1   , 2.027 , N3D   ,    7
 AQUWEP   , Fe1   , 2.333 , Cl2   ,   17
 AQUWEP   , Fe1   , 2.398 , N4    ,    7
 AQUWEP   , Fe1   , 2.403 , Cl1   ,   17
 AQUWEP   , Fe1   , 2.146 , N2    ,    7
 AQUWEP   , Fe1   ,  2.28 , N1    ,    7
 AQUWEP   , Fe1   , 2.403 , N3    ,    7
 ARANOX   , Fe1   ,  1.95 , N3A   ,    7
 ARANOX   , Fe1   , 1.948 , N1    ,    7
 ARANOX   , Fe1   ,  1.95 , N3    ,    7
 ARANOX   , Fe1   ,  1.94 , N5    ,    7
 ARANOX   , Fe1   ,  1.94 , N5A   ,    7
 ARANOX   , Fe1   , 1.948 , N1A   ,    7
 ARANOX   , Fe2   , 1.953 , N11   ,    7
 ARANOX   , Fe2   , 1.942 , N9    ,    7
 ARANOX   , Fe2   , 1.946 , N7A   ,    7
 ARANOX   , Fe2   , 1.946 , N7    ,    7
 ARANOX   , Fe2   , 1.942 , N9A   ,    7
 ARANOX   , Fe2   , 1.953 , N11A  ,    7
 AREHAG   , Fe1   , 2.263 , N4    ,    7
 AREHAG   , Fe1   , 2.263 , N4A   ,    7
 AREHAG   , Fe1   , 2.119 , N7A   ,    7
 AREHAG   , Fe1   , 2.123 , O1    ,    8
 AREHAG   , Fe1   , 2.123 , O1A   ,    8
 AREHAG   , Fe1   , 2.119 , N7    ,    7
 ARIGOX   , Fe1   ,  2.17 , O3B   ,    8
 ARIGOX   , Fe1   , 2.246 , N1B   ,    7
 ARIGOX   , Fe1   , 2.033 , O1    ,    8
 ARIGOX   , Fe1   , 2.033 , O1B   ,    8
 ARIGOX   , Fe1   , 2.246 , N1    ,    7
 ARIGOX   , Fe1   ,  2.17 , O3    ,    8
 ARIXEF   , Fe1   , 2.086 , N5    ,    7
 ARIXEF   , Fe1   , 2.185 , N2A   ,    7
 ARIXEF   , Fe1   , 2.161 , N3    ,    7
 ARIXEF   , Fe1   , 2.161 , N3A   ,    7
 ARIXEF   , Fe1   , 2.185 , N2    ,    7
 ARIXEF   , Fe1   , 2.086 , N5A   ,    7
 AROBIS   , Fe1   , 2.137 , O1    ,    8
 AROBIS   , Fe1   , 2.137 , O1E   ,    8
 AROBIS   , Fe1   , 2.176 , N1    ,    7
 AROBIS   , Fe1   , 2.176 , N1E   ,    7
 AROBIS   , Fe1   , 2.109 , O4    ,    8
 AROBIS   , Fe1   , 2.109 , O4E   ,    8
 ARUFOJ   , Fe1   , 2.253 , Cl1   ,   17
 ARUFOJ   , Fe1   , 2.132 , N1    ,    7
 ARUFOJ   , Fe1   , 2.215 , Cl2   ,   17
 ARUFOJ   , Fe1   , 2.122 , N2    ,    7
 ASALIQ   , Fe1   , 1.963 , N13   ,    7
 ASALIQ   , Fe1   , 2.025 , N4    ,    7
 ASALIQ   , Fe1   , 2.035 , N11   ,    7
 ASALIQ   , Fe1   , 1.945 , N2    ,    7
 ASALIQ   , Fe1   , 1.955 , N6    ,    7
 ASALIQ   , Fe1   , 1.956 , N9    ,    7
 ASENUI   , Fe1   ,   2.3 , S1    ,   16
 ASENUI   , Fe1   , 1.645 , N1    ,    7
 ASENUI   , Fe1   , 1.649 , N2    ,    7
 ASENUI   , Fe1   , 2.141 , N3    ,    7
 ASEQUL   , Fe1   , 2.259 , N1    ,    7
 ASEQUL   , Fe1   , 2.456 , N4    ,    7
 ASEQUL   , Fe1   , 2.251 , N7    ,    7
 ASEQUL   , Fe1   , 2.257 , N5    ,    7
 ASEQUL   , Fe1   ,   2.4 , N10   ,    7
 ASEQUL   , Fe1   , 2.425 , N3    ,    7
 ASEQUL   , Fe1   , 2.449 , N9    ,    7
 ASEQUL   , Fe1   , 2.245 , N11   ,    7
 ASEREW   , Fe1   , 2.197 , N7    ,    7
 ASEREW   , Fe1   , 2.135 , N1    ,    7
 ASEREW   , Fe1   , 2.138 , N5    ,    7
 ASEREW   , Fe1   ,  2.17 , N4    ,    7
 ASEREW   , Fe1   , 2.181 , N3    ,    7
 ASEREW   , Fe1   , 2.196 , N8    ,    7
 ASIYAC   , Fe1   , 2.048 , O1    ,    8
 ASIYAC   , Fe1   , 2.176 , N1    ,    7
 ASIYAC   , Fe1   , 2.091 , N5    ,    7
 ASIYAC   , Fe1   ,  2.14 , N2    ,    7
 ASIYAC   , Fe1   ,     2 , O3    ,    8
 ASIYAC   , Fe2   , 2.123 , N4    ,    7
 ASIYAC   , Fe2   , 2.095 , N6    ,    7
 ASIYAC   , Fe2   , 2.061 , O2    ,    8
 ASIYAC   , Fe2   , 1.996 , O3    ,    8
 ASIYAC   , Fe2   , 2.197 , N3    ,    7
 ASIYEG   , Fe1   , 2.159 , N1    ,    7
 ASIYEG   , Fe1   , 2.128 , N2    ,    7
 ASIYEG   , Fe1   , 1.997 , N6    ,    7
 ASIYEG   , Fe1   ,  1.97 , O1    ,    8
 ASIYEG   , Fe1   , 2.167 , N5    ,    7
 ASIYEG   , Fe2   , 2.164 , N5    ,    7
 ASIYEG   , Fe2   , 2.146 , N4    ,    7
 ASIYEG   , Fe2   , 2.142 , N3    ,    7
 ASIYEG   , Fe2   , 2.041 , O1    ,    8
 ASIYEG   , Fe2   , 1.974 , N7    ,    7
 ASIYIK   , Fe1   , 1.958 , O1    ,    8
 ASIYIK   , Fe1   , 2.134 , N1    ,    7
 ASIYIK   , Fe1   , 2.273 , N5    ,    7
 ASIYIK   , Fe1   , 2.204 , N8A   ,    7
 ASIYIK   , Fe1   ,  2.14 , N2    ,    7
 ASIYIK   , Fe1   , 2.167 , N8    ,    7
 ASIYIK   , Fe2   , 2.117 , N5    ,    7
 ASIYIK   , Fe2   , 2.138 , N3    ,    7
 ASIYIK   , Fe2   , 2.026 , O1    ,    8
 ASIYIK   , Fe2   , 2.115 , N4    ,    7
 ASIYIK   , Fe2   , 1.992 , N11   ,    7
 ASUTEN   , Fe1   , 2.266 , Cl2   ,   17
 ASUTEN   , Fe1   , 2.095 , N2    ,    7
 ASUTEN   , Fe1   , 2.242 , Cl1   ,   17
 ASUTEN   , Fe1   ,  2.08 , N1    ,    7
 ATOJUO   , Fe1   , 2.402 , S1    ,   16
 ATOJUO   , Fe1   , 2.149 , N4    ,    7
 ATOJUO   , Fe1   , 2.126 , N1    ,    7
 ATOJUO   , Fe1   , 1.948 , O3    ,    8
 ATOJUO   , Fe1   , 1.927 , O2    ,    8
 ATOJUO   , Fe1   , 2.463 , S2    ,   16
 AVIMUN   , Fe1   , 2.206 , N8    ,    7
 AVIMUN   , Fe1   , 2.195 , N7    ,    7
 AVIMUN   , Fe1   , 2.176 , O1    ,    8
 AVIMUN   , Fe1   , 2.115 , O2    ,    8
 AVIMUN   , Fe1   , 2.153 , N6    ,    7
 AVIMUN   , Fe1   , 2.122 , N3    ,    7
 AVINUO   , Fe1   , 1.981 , N2    ,    7
 AVINUO   , Fe1   , 1.959 , N6    ,    7
 AVINUO   , Fe1   , 2.083 , N4    ,    7
 AVINUO   , Fe1   ,  1.99 , N1    ,    7
 AVINUO   , Fe1   , 2.078 , N5    ,    7
 AVINUO   , Fe1   , 2.004 , N3    ,    7
 AVIYUZ   , Fe1   , 1.969 , O1    ,    8
